Breviolum98143	K19755
Breviolum60154	K20318
Breviolum175370	K01673
Breviolum400712	K12599
Breviolum207011	K08582
Breviolum305700	K04739
Breviolum50877	K07937
Breviolum205027	K06260
Breviolum41079	K21440
Breviolum95443	K14338
Breviolum306348	K02935
Breviolum90564	K10408
Breviolum75049	K11824
Breviolum308759	K06940
Breviolum264469	K06669
Breviolum74603	K05956
Breviolum62490	K10615
Breviolum32057	K14457
Breviolum63250	K15335
Breviolum57218	K20028
Breviolum58243	K19496
Breviolum350181	K02684
Breviolum74984	K01069
Breviolum8721	K01689
Breviolum270314	K03327
Breviolum66257	K10325
Breviolum175265	K00753
Breviolum402733	K10455
Breviolum88259	K02920
Breviolum8740	K01802
Breviolum70814	K23541
Breviolum5071	K03115
Breviolum94273	K00700
Breviolum227430	K04841
Breviolum40367	K03320
Breviolum344397	K02895
Breviolum58259	K12177
Breviolum24904	K02738
Breviolum225685	K08332
Breviolum391166	K03009
Breviolum344921	K08573
Breviolum351724	K09839
Breviolum22622	K00958
Breviolum63988	K14830
Breviolum69080	K15402
Breviolum69411	K12120
Breviolum93568	K12319
Breviolum69204	K05542
Breviolum180520	K00812
Breviolum6493	K10412
Breviolum264106	K22614
Breviolum7399	K19757
Breviolum89642	K01556
Breviolum98626	K12132
Breviolum70393	K09592
Breviolum94723	K08794
Breviolum289612	K13025
Breviolum387239	K10380
Breviolum264624	K00464
Breviolum354764	K12460
Breviolum79769	K10407
Breviolum90094	K08808
Breviolum81298	K14457
Breviolum183035	K09490
Breviolum82524	K11975
Breviolum268217	K12442
Breviolum229384	K06180
Breviolum390401	K15382
Breviolum266086	K10840
Breviolum389663	K13293
Breviolum354533	K01074
Breviolum385543	K09569
Breviolum384554	K01648
Breviolum394471	K17469
Breviolum230297	K03439
Breviolum50912	K07017
Breviolum232828	K01834
Breviolum356524	K00142
Breviolum31149	K00472
Breviolum205677	K00703
Breviolum168670	K04851
Breviolum82203	K10407
Breviolum59645	K23999
Breviolum42407	K00710
Breviolum68482	K12843
Breviolum52823	K10380
Breviolum51262	K12460
Breviolum88017	K19036
Breviolum54416	K18798
Breviolum279926	K04079
Breviolum269622	K19685
Breviolum388141	K12398
Breviolum264935	K00605
Breviolum70262	K09503
Breviolum84863	K10601
Breviolum57091	K05516
Breviolum188799	K01230
Breviolum18712	K17964
Breviolum206812	K13356
Breviolum4764	K01673
Breviolum207205	K25767
Breviolum81811	K00766
Breviolum366544	K07374
Breviolum226866	K01382
Breviolum8796	K11584
Breviolum227173	K09456
Breviolum310324	K00833
Breviolum49358	K24041
Breviolum174124	K00850
Breviolum169967	K02692
Breviolum4315	K20028
Breviolum384039	K11703
Breviolum82457	K05012
Breviolum209448	K02969
Breviolum309661	K12862
Breviolum212824	K00464
Breviolum90328	K24427
Breviolum166537	K01507
Breviolum391244	K07232
Breviolum74848	K10446
Breviolum22172	K11843
Breviolum68756	K15284
Breviolum172808	K00471
Breviolum20955	K02957
Breviolum40573	K10956
Breviolum172744	K10408
Breviolum348489	K12460
Breviolum40864	K10615
Breviolum95143	K15731
Breviolum229191	K01586
Breviolum57637	K17499
Breviolum48399	K10442
Breviolum97005	K13412
Breviolum386177	K00249
Breviolum230049	K12193
Breviolum48924	K10380
Breviolum348745	K00868
Breviolum302963	K01534
Breviolum389411	K11646
Breviolum63073	K10396
Breviolum347904	K15631
Breviolum343536	K13208
Breviolum85395	K15095
Breviolum53487	K13179
Breviolum348917	K18368
Breviolum68413	K17459
Breviolum49329	K11086
Breviolum179467	K05681
Breviolum47179	K10380
Breviolum37591	K05673
Breviolum323088	K06130
Breviolum97434	K03364
Breviolum397310	K11729
Breviolum18861	K14004
Breviolum314082	K12188
Breviolum183847	K09571
Breviolum70668	K05681
Breviolum202927	K17821
Breviolum28742	K12603
Breviolum88513	K00111
Breviolum31801	K09838
Breviolum344758	K13412
Breviolum85519	K15202
Breviolum72619	K01802
Breviolum228403	K03424
Breviolum181477	K00699
Breviolum384351	K03218
Breviolum396232	K10380
Breviolum395651	K17866
Breviolum48721	K04445
Breviolum89913	K01689
Breviolum41137	K19760
Breviolum1998	K08288
Breviolum226658	K10598
Breviolum252158	K02984
Breviolum70894	K14292
Breviolum83262	K15198
Breviolum69913	K15100
Breviolum311361	K09122
Breviolum78478	K16900
Breviolum97168	K14850
Breviolum39187	K04043
Breviolum92708	K16602
Breviolum365392	K03017
Breviolum52360	K12275
Breviolum233947	K07305
Breviolum56162	K25058
Breviolum244852	K01637
Breviolum88265	K10380
Breviolum19327	K03687
Breviolum230439	K20347
Breviolum62062	K02183
Breviolum231173	K01012
Breviolum275360	K01939
Breviolum395269	K17500
Breviolum69558	K13412
Breviolum67847	K08827
Breviolum217150	K04079
Breviolum408848	K02927
Breviolum71179	K12132
Breviolum37546	K06630
Breviolum172696	K10408
Breviolum27918	K05665
Breviolum258454	K09571
Breviolum401439	K02641
Breviolum169206	K10396
Breviolum30850	K04886
Breviolum226128	K02981
Breviolum31942	K06941
Breviolum229883	K07565
Breviolum268848	K11755
Breviolum167093	K03686
Breviolum74438	K12840
Breviolum305990	K25439
Breviolum386016	K20032
Breviolum312419	K12132
Breviolum98861	K01090
Breviolum7108	K16061
Breviolum38375	K01408
Breviolum270440	K04043
Breviolum9067	K12132
Breviolum227220	K06180
Breviolum267014	K04954
Breviolum348428	K10408
Breviolum90436	K10380
Breviolum29331	K15275
Breviolum31576	K06269
Breviolum351083	K24070
Breviolum26683	K10407
Breviolum391335	K03015
Breviolum346195	K22809
Breviolum17004	K01493
Breviolum46722	K03405
Breviolum31857	K03978
Breviolum389617	K00122
Breviolum218849	K07939
Breviolum81742	K01652
Breviolum360681	K01802
Breviolum50789	K00921
Breviolum6824	K20994
Breviolum172191	K02358
Breviolum395474	K07939
Breviolum90344	K10455
Breviolum82060	K10523
Breviolum307792	K10707
Breviolum85081	K11844
Breviolum89901	K14709
Breviolum63209	K12796
Breviolum83241	K04905
Breviolum194561	K04043
Breviolum211269	K13207
Breviolum18865	K15095
Breviolum30279	K11876
Breviolum348254	K18041
Breviolum401959	K12394
Breviolum97950	K06316
Breviolum61927	K08287
Breviolum165111	K11835
Breviolum388960	K03841
Breviolum344783	K04460
Breviolum88575	K14950
Breviolum33513	K15503
Breviolum26276	K17616
Breviolum202482	K02575
Breviolum229055	K04908
Breviolum209732	K10746
Breviolum323248	K04079
Breviolum315622	K21848
Breviolum94784	K23025
Breviolum82244	K12892
Breviolum226447	K13507
Breviolum29714	K00310
Breviolum62654	K10380
Breviolum268292	K16639
Breviolum283035	K18561
Breviolum302972	K23029
Breviolum392119	K01070
Breviolum89308	K10395
Breviolum384354	K00592
Breviolum68820	K01462
Breviolum334879	K04079
Breviolum267161	K03849
Breviolum357624	K10380
Breviolum228239	K06928
Breviolum72421	K10380
Breviolum31372	K02087
Breviolum231432	K01624
Breviolum93064	K04607
Breviolum245240	K04043
Breviolum67864	K10380
Breviolum61264	K20498
Breviolum59002	K15111
Breviolum272164	K04957
Breviolum74647	K10595
Breviolum52164	K00382
Breviolum49911	K00898
Breviolum2113	K20133
Breviolum94807	K04955
Breviolum97405	K01702
Breviolum83195	K22900
Breviolum40222	K08857
Breviolum59245	K10380
Breviolum386993	K12166
Breviolum271393	K07750
Breviolum399797	K02979
Breviolum306709	K08576
Breviolum234961	K00058
Breviolum95856	K09488
Breviolum45032	K13525
Breviolum243861	K02078
Breviolum211851	K11175
Breviolum43292	K00101
Breviolum170885	K01379
Breviolum306445	K09828
Breviolum58660	K12733
Breviolum396560	K10407
Breviolum265584	K02540
Breviolum27702	K07441
Breviolum81913	K00889
Breviolum30603	K10523
Breviolum58188	K22763
Breviolum352794	K15264
Breviolum88642	K10406
Breviolum227077	K19626
Breviolum53234	K00006
Breviolum226988	K17839
Breviolum6563	K04373
Breviolum386242	K01487
Breviolum6457	K13126
Breviolum347866	K00700
Breviolum53321	K15016
Breviolum348053	K14802
Breviolum227365	K25656
Breviolum194585	K22133
Breviolum369998	K10405
Breviolum32829	K13111
Breviolum94646	K21989
Breviolum63822	K18561
Breviolum42428	K00797
Breviolum195016	K12460
Breviolum344946	K13412
Breviolum37123	K02564
Breviolum96747	K06180
Breviolum306049	K02880
Breviolum48089	K23899
Breviolum62130	K17808
Breviolum50186	K01061
Breviolum62553	K03809
Breviolum19260	K01836
Breviolum55958	K02887
Breviolum63582	K06176
Breviolum35231	K02730
Breviolum207243	K17505
Breviolum67224	K14963
Breviolum68422	K08316
Breviolum248251	K03512
Breviolum18697	K06978
Breviolum305396	K11168
Breviolum345286	K22684
Breviolum67190	K02036
Breviolum267519	K03686
Breviolum97395	K10859
Breviolum272485	K00434
Breviolum344831	K01176
Breviolum32936	K17496
Breviolum31323	K17499
Breviolum98096	K06630
Breviolum232924	K13696
Breviolum31658	K16298
Breviolum189320	K10408
Breviolum236094	K24512
Breviolum206454	K08292
Breviolum58781	K15046
Breviolum169943	K13861
Breviolum83205	K16726
Breviolum34495	K17964
Breviolum39130	K13984
Breviolum225749	K14855
Breviolum50985	K24750
Breviolum390308	K09516
Breviolum345835	K19760
Breviolum82459	K07304
Breviolum94031	K02109
Breviolum21284	K06180
Breviolum81686	K10772
Breviolum53541	K09230
Breviolum19940	K14379
Breviolum63375	K16675
Breviolum207750	K10330
Breviolum63461	K03294
Breviolum199981	K02685
Breviolum246222	K02984
Breviolum76356	K08596
Breviolum97706	K10863
Breviolum209326	K09506
Breviolum31984	K17508
Breviolum41054	K09592
Breviolum81536	K15335
Breviolum167214	K22754
Breviolum7365	K02471
Breviolum208145	K17759
Breviolum306130	K25616
Breviolum401864	K00993
Breviolum36931	K13806
Breviolum207664	K07198
Breviolum88075	K19600
Breviolum68432	K02328
Breviolum170798	K04043
Breviolum390631	K08369
Breviolum283272	K07376
Breviolum83369	K04097
Breviolum394208	K16747
Breviolum29469	K24205
Breviolum26273	K03671
Breviolum89852	K10635
Breviolum69217	K02087
Breviolum214307	K07575
Breviolum51180	K23539
Breviolum264323	K06947
Breviolum182576	K00703
Breviolum344360	K11703
Breviolum170012	K02184
Breviolum227206	K11584
Breviolum227836	K00228
Breviolum22453	K15104
Breviolum5400	K14944
Breviolum345585	K01254
Breviolum83126	K03022
Breviolum24956	K02927
Breviolum49903	K17808
Breviolum385946	K10409
Breviolum28328	K16175
Breviolum68723	K13412
Breviolum5414	K02976
Breviolum69222	K08869
Breviolum50360	K15030
Breviolum235390	K06494
Breviolum69698	K03686
Breviolum411941	K07375
Breviolum7928	K03434
Breviolum232533	K16197
Breviolum271199	K10595
Breviolum177142	K12442
Breviolum60236	K15505
Breviolum386524	K19909
Breviolum44620	K19306
Breviolum275791	K12348
Breviolum5485	K09511
Breviolum173249	K03522
Breviolum54479	K03260
Breviolum93426	K07512
Breviolum49169	K06130
Breviolum29143	K02641
Breviolum62429	K02257
Breviolum384123	K20843
Breviolum35013	K13675
Breviolum303072	K03178
Breviolum178606	K02634
Breviolum303286	K02708
Breviolum53255	K01208
Breviolum29713	K19619
Breviolum233675	K01802
Breviolum346653	K11518
Breviolum99035	K08869
Breviolum270725	K22133
Breviolum241782	K02934
Breviolum228434	K17943
Breviolum48720	K04078
Breviolum34801	K24991
Breviolum69734	K17938
Breviolum305614	K09568
Breviolum309735	K00025
Breviolum9560	K01945
Breviolum69142	K25767
Breviolum95156	K15837
Breviolum83602	K11751
Breviolum386368	K03850
Breviolum303791	K13412
Breviolum93827	K00602
Breviolum266499	K02838
Breviolum68438	K01187
Breviolum347306	K16816
Breviolum31520	K02493
Breviolum356049	K03283
Breviolum266103	K13600
Breviolum87961	K01070
Breviolum422300	K01363
Breviolum47985	K14559
Breviolum302798	K20416
Breviolum52428	K17725
Breviolum28451	K00567
Breviolum194178	K08869
Breviolum70498	K19787
Breviolum20841	K06180
Breviolum227557	K00002
Breviolum49803	K01684
Breviolum74364	K06180
Breviolum193074	K03778
Breviolum98462	K14379
Breviolum46533	K15283
Breviolum344283	K11086
Breviolum6224	K10901
Breviolum345084	K20793
Breviolum50715	K02154
Breviolum81248	K00635
Breviolum176849	K17508
Breviolum57138	K13412
Breviolum277812	K19941
Breviolum1952	K00898
Breviolum19558	K16298
Breviolum172846	K03263
Breviolum70460	K10610
Breviolum172007	K16302
Breviolum58961	K10703
Breviolum350077	K00757
Breviolum347340	K00826
Breviolum204449	K03263
Breviolum5018	K16465
Breviolum78465	K01710
Breviolum69750	K05849
Breviolum27538	K17943
Breviolum268479	K03695
Breviolum6311	K26223
Breviolum227468	K01191
Breviolum32814	K05864
Breviolum88044	K10405
Breviolum82828	K04567
Breviolum53331	K02201
Breviolum95016	K24763
Breviolum62732	K03260
Breviolum268883	K00337
Breviolum32552	K20890
Breviolum344150	K25192
Breviolum59914	K14018
Breviolum63646	K16726
Breviolum68595	K07146
Breviolum72424	K12818
Breviolum271691	K13907
Breviolum81289	K04371
Breviolum238934	K00357
Breviolum68817	K01262
Breviolum57363	K03924
Breviolum5589	K22071
Breviolum305263	K00434
Breviolum186674	K02256
Breviolum42573	K23256
Breviolum69370	K24764
Breviolum43409	K03076
Breviolum230004	K03259
Breviolum309005	K14684
Breviolum72992	K20032
Breviolum57190	K07243
Breviolum321997	K03246
Breviolum94229	K04409
Breviolum69268	K14835
Breviolum49140	K02183
Breviolum45402	K01816
Breviolum206843	K10277
Breviolum42144	K03234
Breviolum16449	K02989
Breviolum50163	K08738
Breviolum69167	K11276
Breviolum73834	K24761
Breviolum28859	K00965
Breviolum234339	K22075
Breviolum264848	K03773
Breviolum343638	K08900
Breviolum302834	K22614
Breviolum385070	K12873
Breviolum78252	K06911
Breviolum274970	K19745
Breviolum68415	K14381
Breviolum227523	K19754
Breviolum62104	K15538
Breviolum94968	K17964
Breviolum88780	K08869
Breviolum351377	K00999
Breviolum74653	K13339
Breviolum98304	K23902
Breviolum59989	K02183
Breviolum62727	K03686
Breviolum308032	K12850
Breviolum62301	K20800
Breviolum214883	K02883
Breviolum229087	K08794
Breviolum68883	K23727
Breviolum75364	K20827
Breviolum95718	K01758
Breviolum206804	K00898
Breviolum307943	K15503
Breviolum9798	K19947
Breviolum53344	K18740
Breviolum97749	K15918
Breviolum264337	K08797
Breviolum227799	K12132
Breviolum69250	K08900
Breviolum230078	K01885
Breviolum69758	K16600
Breviolum69917	K07126
Breviolum45878	K12430
Breviolum272693	K22866
Breviolum72177	K04856
Breviolum175323	K16547
Breviolum94038	K00574
Breviolum50814	K06943
Breviolum197861	K02705
Breviolum385400	K01250
Breviolum45041	K14424
Breviolum39029	K07915
Breviolum389833	K11136
Breviolum97977	K08790
Breviolum345292	K02868
Breviolum346973	K06911
Breviolum231183	K03686
Breviolum86156	K00128
Breviolum99728	K08076
Breviolum74204	K13238
Breviolum229172	K09571
Breviolum171619	K07552
Breviolum97936	K02912
Breviolum51368	K08582
Breviolum28343	K11434
Breviolum58884	K00029
Breviolum50608	K08490
Breviolum303947	K10456
Breviolum27608	K03233
Breviolum172212	K09503
Breviolum5301	K24242
Breviolum6001	K03038
Breviolum69608	K01620
Breviolum50686	K14395
Breviolum33980	K01365
Breviolum384087	K05794
Breviolum32737	K17710
Breviolum389585	K19329
Breviolum390335	K01365
Breviolum58432	K09503
Breviolum16983	K12132
Breviolum209035	K05931
Breviolum69269	K24175
Breviolum177841	K04955
Breviolum33116	K12132
Breviolum275650	K17609
Breviolum266129	K24956
Breviolum235767	K04648
Breviolum20593	K10737
Breviolum87633	K09578
Breviolum72548	K00382
Breviolum98702	K01210
Breviolum83583	K12405
Breviolum292516	K03234
Breviolum59789	K01092
Breviolum308101	K12172
Breviolum28766	K06119
Breviolum264169	K06872
Breviolum87412	K01569
Breviolum85135	K19674
Breviolum226583	K02151
Breviolum226395	K12445
Breviolum93731	K14403
Breviolum303689	K09649
Breviolum384965	K18757
Breviolum93021	K16458
Breviolum192030	K07968
Breviolum24182	K01279
Breviolum171701	K10380
Breviolum7269	K09553
Breviolum25707	K03833
Breviolum233517	K00077
Breviolum7342	K09478
Breviolum49500	K03260
Breviolum406610	K00218
Breviolum170176	K09257
Breviolum94115	K15175
Breviolum231978	K12132
Breviolum225890	K24205
Breviolum26701	K15507
Breviolum267133	K08151
Breviolum347648	K07560
Breviolum70702	K07376
Breviolum99202	K23539
Breviolum226808	K13750
Breviolum191479	K13210
Breviolum50669	K22757
Breviolum1941	K13412
Breviolum33776	K00521
Breviolum68419	K00486
Breviolum349229	K08582
Breviolum32230	K01897
Breviolum28685	K15109
Breviolum49071	K00699
Breviolum33322	K14539
Breviolum304370	K17065
Breviolum63553	K16482
Breviolum57319	K00088
Breviolum345526	K25897
Breviolum48076	K10734
Breviolum178727	K07375
Breviolum72081	K16729
Breviolum68246	K02355
Breviolum271821	K16914
Breviolum50878	K11990
Breviolum82700	K11165
Breviolum74778	K15276
Breviolum389224	K18447
Breviolum82071	K08857
Breviolum383502	K10380
Breviolum82722	K10949
Breviolum63005	K01802
Breviolum34336	K12132
Breviolum346547	K11502
Breviolum7186	K08176
Breviolum27358	K21435
Breviolum359300	K00688
Breviolum2106	K10799
Breviolum167763	K01885
Breviolum28477	K07976
Breviolum8649	K03165
Breviolum50329	K09874
Breviolum93245	K05286
Breviolum93833	K04628
Breviolum70678	K00856
Breviolum361190	K01802
Breviolum62511	K04954
Breviolum387264	K13109
Breviolum84981	K13412
Breviolum81508	K03834
Breviolum55013	K00939
Breviolum59538	K15275
Breviolum264745	K00587
Breviolum59774	K01768
Breviolum6148	K15335
Breviolum265045	K12349
Breviolum30178	K10380
Breviolum57066	K14293
Breviolum369123	K11592
Breviolum264242	K00503
Breviolum271990	K14379
Breviolum26729	K16726
Breviolum226504	K12440
Breviolum50497	K00008
Breviolum178963	K09838
Breviolum16694	K06637
Breviolum345741	K02519
Breviolum89386	K07556
Breviolum5714	K10380
Breviolum59517	K08869
Breviolum78261	K00231
Breviolum385800	K17710
Breviolum76674	K11099
Breviolum84742	K08794
Breviolum89298	K07238
Breviolum93488	K12443
Breviolum303401	K14674
Breviolum7887	K02962
Breviolum20112	K03424
Breviolum81936	K09595
Breviolum205646	K08176
Breviolum69693	K04460
Breviolum228445	K21814
Breviolum33012	K00021
Breviolum68628	K01755
Breviolum314147	K00002
Breviolum305232	K25900
Breviolum6959	K09485
Breviolum27138	K24353
Breviolum313583	K07874
Breviolum49314	K03768
Breviolum31248	K01115
Breviolum31965	K10587
Breviolum34588	K01834
Breviolum61945	K21121
Breviolum49534	K00939
Breviolum164439	K00726
Breviolum68514	K16726
Breviolum70671	K10799
Breviolum48748	K03014
Breviolum58810	K00240
Breviolum345385	K21768
Breviolum387158	K12567
Breviolum48913	K24735
Breviolum3764	K10859
Breviolum3114	K01358
Breviolum4244	K06119
Breviolum48302	K10380
Breviolum3023	K11097
Breviolum193716	K00337
Breviolum320243	K00025
Breviolum54957	K10422
Breviolum68541	K14803
Breviolum351032	K02918
Breviolum62781	K03816
Breviolum322480	K00799
Breviolum94200	K11517
Breviolum385815	K12580
Breviolum306976	K06180
Breviolum1887	K09586
Breviolum71078	K09500
Breviolum169331	K04461
Breviolum99902	K25656
Breviolum32402	K00382
Breviolum261207	K07937
Breviolum206850	K03217
Breviolum85405	K03798
Breviolum383917	K02146
Breviolum94081	K17592
Breviolum8706	K09580
Breviolum68703	K22809
Breviolum45514	K10427
Breviolum362505	K02261
Breviolum228595	K02880
Breviolum352220	K09503
Breviolum82489	K05012
Breviolum62751	K25475
Breviolum28960	K07374
Breviolum86533	K24495
Breviolum92629	K04842
Breviolum343398	K19760
Breviolum7546	K24835
Breviolum58688	K04043
Breviolum44869	K09586
Breviolum385051	K07562
Breviolum304825	K10418
Breviolum219216	K02883
Breviolum226164	K03321
Breviolum90814	K11267
Breviolum82052	K12898
Breviolum95892	K19269
Breviolum302929	K02857
Breviolum348651	K02114
Breviolum17315	K03320
Breviolum246406	K11187
Breviolum28119	K14753
Breviolum70303	K24512
Breviolum86513	K07976
Breviolum237800	K03094
Breviolum265154	K16284
Breviolum59252	K08151
Breviolum273600	K17498
Breviolum32530	K03152
Breviolum303633	K10597
Breviolum304359	K20027
Breviolum391360	K14570
Breviolum179190	K11493
Breviolum55521	K13288
Breviolum389231	K09602
Breviolum63272	K12391
Breviolum9055	K13412
Breviolum270728	K06875
Breviolum74187	K00434
Breviolum2084	K06617
Breviolum8287	K03929
Breviolum32428	K08869
Breviolum31908	K03233
Breviolum288645	K04079
Breviolum166512	K09510
Breviolum99568	K11717
Breviolum206829	K09571
Breviolum252762	K10420
Breviolum49006	K08592
Breviolum215002	K04565
Breviolum208997	K22763
Breviolum265968	K04842
Breviolum62031	K10587
Breviolum230835	K02636
Breviolum48850	K14440
Breviolum392097	K10393
Breviolum69902	K00981
Breviolum383592	K03453
Breviolum94770	K01641
Breviolum307351	K01480
Breviolum97158	K12132
Breviolum92143	K10380
Breviolum86832	K01893
Breviolum386506	K08794
Breviolum303885	K24512
Breviolum32119	K01687
Breviolum85050	K00108
Breviolum44475	K00281
Breviolum47298	K00939
Breviolum50629	K19760
Breviolum58440	K00760
Breviolum83261	K00012
Breviolum85812	K13719
Breviolum40359	K12176
Breviolum47555	K11687
Breviolum65733	K11152
Breviolum62402	K15083
Breviolum2060	K12235
Breviolum89747	K00485
Breviolum187621	K04441
Breviolum57428	K22763
Breviolum206220	K01011
Breviolum235284	K16540
Breviolum217794	K12834
Breviolum6968	K10532
Breviolum387650	K01358
Breviolum276693	K04043
Breviolum94053	K07151
Breviolum229676	K00820
Breviolum32504	K04711
Breviolum82261	K07376
Breviolum62931	K06158
Breviolum253933	K02704
Breviolum53132	K14835
Breviolum82920	K20198
Breviolum8515	K07126
Breviolum69210	K16462
Breviolum180798	K14724
Breviolum44251	K15047
Breviolum195509	K01803
Breviolum229441	K02891
Breviolum89322	K24468
Breviolum2119	K24070
Breviolum98829	K17943
Breviolum236135	K12590
Breviolum264638	K02984
Breviolum50784	K14724
Breviolum98600	K10325
Breviolum34611	K14802
Breviolum32127	K01495
Breviolum65918	K08582
Breviolum88220	K17614
Breviolum39573	K07376
Breviolum53389	K06867
Breviolum177054	K14003
Breviolum46786	K18134
Breviolum57143	K01196
Breviolum35006	K00750
Breviolum59039	K11717
Breviolum53444	K13216
Breviolum308853	K22763
Breviolum387823	K00939
Breviolum343087	K06180
Breviolum6355	K12132
Breviolum96116	K10860
Breviolum344289	K13963
Breviolum50145	K10380
Breviolum95139	K12343
Breviolum33334	K01625
Breviolum62015	K13577
Breviolum165235	K13761
Breviolum96132	K14207
Breviolum227427	K16297
Breviolum55779	K03362
Breviolum71642	K01567
Breviolum308027	K00134
Breviolum95	K03178
Breviolum388060	K01382
Breviolum48968	K03217
Breviolum52853	K20367
Breviolum395904	K14963
Breviolum68706	K16571
Breviolum184777	K03265
Breviolum387598	K06623
Breviolum197902	K03231
Breviolum24818	K14442
Breviolum48897	K03321
Breviolum8708	K01889
Breviolum187191	K07374
Breviolum188471	K16726
Breviolum59242	K17943
Breviolum4429	K10758
Breviolum88249	K00456
Breviolum94224	K16608
Breviolum89991	K12604
Breviolum74775	K10277
Breviolum226189	K02183
Breviolum165066	K00993
Breviolum354749	K01802
Breviolum28748	K10380
Breviolum185211	K24127
Breviolum206105	K01135
Breviolum343451	K08957
Breviolum6652	K00726
Breviolum231834	K02606
Breviolum57561	K20889
Breviolum1698	K04739
Breviolum58041	K00710
Breviolum166803	K02694
Breviolum57532	K13179
Breviolum83473	K23257
Breviolum57284	K08798
Breviolum70454	K00108
Breviolum267115	K09512
Breviolum89555	K00905
Breviolum265914	K00434
Breviolum228408	K21396
Breviolum407662	K02256
Breviolum74255	K16066
Breviolum95897	K03798
Breviolum2986	K10805
Breviolum207924	K10949
Breviolum232682	K12839
Breviolum209788	K09586
Breviolum348513	K15704
Breviolum50016	K01537
Breviolum71183	K07783
Breviolum189106	K18532
Breviolum18907	K00600
Breviolum266612	K01265
Breviolum41429	K14452
Breviolum347155	K02950
Breviolum42934	K11863
Breviolum32282	K12603
Breviolum44034	K12178
Breviolum247410	K01166
Breviolum60213	K08798
Breviolum52353	K17086
Breviolum20774	K05665
Breviolum346636	K22614
Breviolum280102	K03218
Breviolum252006	K24512
Breviolum32169	K13248
Breviolum359166	K03769
Breviolum265046	K12627
Breviolum63498	K24041
Breviolum277783	K17262
Breviolum70591	K16175
Breviolum94985	K00810
Breviolum81128	K15111
Breviolum16864	K15119
Breviolum186411	K13026
Breviolum8487	K14312
Breviolum72154	K01785
Breviolum214106	K14165
Breviolum56098	K20242
Breviolum391317	K25877
Breviolum72685	K01758
Breviolum318070	K10407
Breviolum309725	K06995
Breviolum398547	K11087
Breviolum385937	K02371
Breviolum95727	K04908
Breviolum47235	K16302
Breviolum69969	K10609
Breviolum9656	K06963
Breviolum269148	K02493
Breviolum19832	K11823
Breviolum306110	K08493
Breviolum9005	K00002
Breviolum348891	K18204
Breviolum53432	K00434
Breviolum167624	K04428
Breviolum62692	K00927
Breviolum390491	K08776
Breviolum418428	K02927
Breviolum410416	K04461
Breviolum68813	K00311
Breviolum94040	K04078
Breviolum48570	K00507
Breviolum213489	K08515
Breviolum88011	K01599
Breviolum92924	K13123
Breviolum343207	K23010
Breviolum20069	K03978
Breviolum164263	K09527
Breviolum94240	K26223
Breviolum33315	K00573
Breviolum187637	K10380
Breviolum92370	K09553
Breviolum383630	K00274
Breviolum70707	K03535
Breviolum61181	K23330
Breviolum195751	K10380
Breviolum6976	K12623
Breviolum411349	K03686
Breviolum386128	K12132
Breviolum386766	K12960
Breviolum183839	K18561
Breviolum307366	K04043
Breviolum2239	K03762
Breviolum167013	K07376
Breviolum266127	K13989
Breviolum169807	K04958
