OG0007653	Breviolum34574	K08798
OG0005700	Breviolum269725	K18798
OG0003692	Breviolum79256	K12460
OG0001347	Breviolum98947	K12349
OG0007159	Breviolum310227	K10860
OG0000719	Breviolum223112	K00031
OG0004764	Breviolum75011	K23741
OG0000137	Breviolum307176	K03696
OG0000419	Breviolum386506	K08794
OG0007367	Breviolum99314	K21440
OG0000029	Breviolum267014	K04954
OG0006402	Breviolum58461	K00059
OG0002004	Breviolum69142	K25767
OG0001452	Breviolum348612	K10380
OG0007563	Breviolum302816	K03648
OG0007551	Breviolum28581	K01190
OG0000057	Breviolum85236	K04421
OG0005768	Breviolum51120	K01076
OG0000400	Breviolum70839	K04885
OG0000183	Breviolum283272	K07376
OG0002571	Breviolum180852	K06633
OG0006076	Breviolum348816	K06970
OG0007439	Breviolum69812	K15015
OG0001945	Breviolum385368	K04799
OG0000520	Breviolum58294	K22390
OG0002874	Breviolum85829	K00135
OG0000495	Breviolum269063	K03094
OG0000097	Breviolum209036	K10573
OG0006185	Breviolum9938	K18156
OG0005305	Breviolum27691	K00059
OG0003549	Breviolum81898	K19760
OG0000012	Breviolum236217	K04043
OG0001441	Breviolum78594	K02901
OG0000513	Breviolum173974	K08906
OG0002373	Breviolum349660	K20367
OG0006911	Breviolum94157	K00088
OG0001185	Breviolum345829	K20843
OG0005764	Breviolum93097	K14442
OG0001291	Breviolum186914	K01135
OG0002341	Breviolum302792	K13720
OG0005476	Breviolum48661	K12862
OG0001537	Breviolum68419	K00486
OG0000058	Breviolum54957	K10422
OG0006284	Breviolum97389	K14005
OG0003499	Breviolum386051	K05794
OG0001886	Breviolum2638	K03660
OG0006158	Breviolum7186	K08176
OG0005315	Breviolum89353	K06252
OG0000008	Breviolum97080	K03686
OG0000453	Breviolum209458	K01637
OG0002789	Breviolum205934	K04459
OG0001585	Breviolum62284	K15445
OG0006863	Breviolum28725	K12397
OG0006958	Breviolum207737	K22866
OG0003425	Breviolum68989	K05929
OG0000784	Breviolum85484	K00710
OG0001078	Breviolum304508	K00476
OG0003585	Breviolum62646	K14724
OG0001657	Breviolum27801	K01802
OG0000292	Breviolum268586	K03762
OG0006852	Breviolum48913	K24735
OG0006849	Breviolum344121	K00471
OG0001444	Breviolum68592	K10523
OG0006017	Breviolum304762	K13341
OG0007662	Breviolum1687	K10418
OG0000588	Breviolum52490	K16780
OG0000532	Breviolum7585	K05389
OG0000933	Breviolum46722	K03405
OG0002885	Breviolum227078	K01354
OG0002674	Breviolum50669	K22757
OG0003078	Breviolum78338	K07198
OG0000585	Breviolum343937	K20029
OG0000563	Breviolum41111	K15259
OG0004267	Breviolum169092	K10380
OG0006332	Breviolum81260	K00011
OG0004567	Breviolum170071	K13412
OG0006410	Breviolum18951	K21440
OG0000532	Breviolum81771	K05389
OG0000357	Breviolum51792	K24205
OG0005273	Breviolum92623	K01090
OG0001418	Breviolum24289	K05849
OG0001244	Breviolum60196	K20526
OG0003152	Breviolum21284	K06180
OG0003145	Breviolum62199	K23257
OG0005954	Breviolum231173	K01012
OG0004510	Breviolum43916	K15110
OG0000188	Breviolum34611	K14802
OG0000559	Breviolum53113	K12445
OG0006072	Breviolum94716	K11836
OG0004213	Breviolum81733	K25549
OG0000331	Breviolum207553	K04908
OG0006715	Breviolum68628	K01755
OG0003384	Breviolum21767	K23728
OG0001762	Breviolum303316	K17508
OG0005542	Breviolum7191	K01205
OG0004700	Breviolum74959	K12737
OG0007470	Breviolum179190	K11493
OG0001838	Breviolum304365	K13949
OG0000511	Breviolum88706	K02985
OG0000388	Breviolum378419	K07936
OG0005212	Breviolum234040	K04460
OG0004077	Breviolum6767	K03979
OG0006618	Breviolum235303	K24685
OG0004378	Breviolum268599	K14560
OG0004203	Breviolum271632	K22763
OG0004357	Breviolum62246	K08582
OG0001937	Breviolum351402	K19683
OG0000248	Breviolum31788	K07300
OG0000539	Breviolum310024	K02987
OG0005683	Breviolum304839	K16457
OG0002863	Breviolum269898	K24104
OG0003701	Breviolum345434	K04905
OG0007385	Breviolum38551	K00387
OG0001992	Breviolum62759	K00002
OG0001437	Breviolum343438	K10329
OG0000069	Breviolum186755	K10408
OG0000194	Breviolum166744	K11835
OG0002431	Breviolum68756	K15284
OG0006168	Breviolum51073	K12741
OG0001246	Breviolum69303	K14493
OG0005171	Breviolum89224	K01271
OG0003519	Breviolum265424	K18342
OG0000922	Breviolum309079	K01881
OG0003636	Breviolum207024	K07146
OG0006144	Breviolum175493	K11593
OG0003838	Breviolum78335	K25192
OG0000182	Breviolum83384	K07376
OG0007518	Breviolum87995	K05841
OG0001839	Breviolum4143	K00558
OG0000029	Breviolum71188	K04955
OG0007109	Breviolum31731	K00326
OG0002430	Breviolum87817	K00969
OG0004323	Breviolum69422	K00615
OG0006178	Breviolum1793	K18327
OG0006452	Breviolum88313	K22824
OG0002777	Breviolum30178	K10380
OG0006956	Breviolum81204	K15637
OG0000378	Breviolum180520	K00812
OG0000357	Breviolum70074	K24205
OG0004699	Breviolum90068	K03798
OG0000182	Breviolum167013	K07376
OG0000338	Breviolum276874	K02355
OG0000292	Breviolum185534	K03762
OG0001449	Breviolum268942	K15210
OG0007313	Breviolum63173	K15104
OG0006870	Breviolum226047	K11787
OG0004585	Breviolum51163	K06639
OG0004539	Breviolum385328	K05665
OG0000978	Breviolum33031	K05349
OG0000373	Breviolum232972	K03235
OG0004667	Breviolum83563	K01202
OG0006904	Breviolum74647	K10595
OG0000563	Breviolum86497	K15259
OG0006772	Breviolum30558	K15110
OG0000392	Breviolum30964	K12410
OG0000174	Breviolum200075	K03737
OG0005355	Breviolum228567	K13108
OG0005150	Breviolum86800	K10251
OG0000624	Breviolum63085	K08869
OG0003945	Breviolum28614	K14797
OG0002070	Breviolum52428	K17725
OG0002603	Breviolum58683	K12830
OG0004266	Breviolum69661	K03294
OG0003310	Breviolum95060	K10589
OG0005339	Breviolum269671	K09503
OG0004540	Breviolum214021	K13345
OG0001371	Breviolum27474	K14963
OG0000342	Breviolum197079	K03686
OG0005911	Breviolum59840	K14792
OG0004912	Breviolum349064	K14554
OG0003072	Breviolum307351	K01480
OG0000033	Breviolum61895	K10860
OG0001389	Breviolum384039	K11703
OG0004512	Breviolum385428	K19750
OG0006451	Breviolum24905	K01204
OG0007667	Breviolum51270	K12132
OG0003297	Breviolum31763	K05970
OG0000943	Breviolum92400	K03932
OG0002855	Breviolum84089	K03676
OG0006939	Breviolum28047	K11838
OG0005981	Breviolum79732	K12620
OG0004881	Breviolum69969	K10609
OG0000654	Breviolum264124	K12876
OG0007397	Breviolum83428	K13412
OG0005109	Breviolum97267	K05110
OG0003504	Breviolum3012	K15104
OG0000226	Breviolum264846	K01803
OG0002775	Breviolum412342	K05349
OG0002535	Breviolum2995	K17609
OG0007513	Breviolum59723	K13750
OG0007024	Breviolum7394	K06206
OG0004456	Breviolum226874	K14165
OG0000159	Breviolum173166	K20715
OG0007568	Breviolum269988	K00485
OG0004971	Breviolum231814	K16473
OG0005399	Breviolum69608	K01620
OG0004740	Breviolum9135	K12603
OG0001739	Breviolum168899	K03068
OG0006449	Breviolum62437	K20291
OG0004326	Breviolum78452	K16746
OG0000371	Breviolum6959	K09485
OG0004178	Breviolum267776	K02927
OG0006370	Breviolum230706	K02520
OG0001419	Breviolum18833	K10589
OG0001963	Breviolum40697	K20843
OG0001775	Breviolum29888	K16865
OG0001166	Breviolum78547	K14411
OG0002022	Breviolum268483	K17710
OG0000068	Breviolum305232	K25900
OG0000713	Breviolum68510	K01647
OG0000164	Breviolum6182	K20028
OG0000414	Breviolum69479	K02183
OG0003783	Breviolum37484	K00919
OG0000371	Breviolum206928	K09489
OG0001064	Breviolum95095	K17065
OG0005561	Breviolum74311	K02330
OG0000949	Breviolum228595	K02880
OG0000514	Breviolum170012	K02184
OG0006758	Breviolum88778	K04740
OG0000200	Breviolum48095	K15013
OG0002733	Breviolum54104	K11717
OG0006327	Breviolum388705	K05884
OG0006100	Breviolum6932	K01176
OG0005166	Breviolum94038	K00574
OG0004943	Breviolum311710	K17286
OG0004554	Breviolum47781	K15630
OG0003376	Breviolum58553	K11976
OG0006603	Breviolum78312	K02886
OG0001957	Breviolum264401	K01210
OG0003080	Breviolum97668	K14191
OG0000022	Breviolum369897	K05864
OG0006888	Breviolum310471	K02183
OG0006382	Breviolum348864	K03424
OG0001635	Breviolum236515	K12896
OG0007694	Breviolum205649	K16726
OG0007196	Breviolum308068	K25166
OG0000180	Breviolum270778	K07374
OG0004681	Breviolum304826	K01469
OG0000730	Breviolum302733	K17943
OG0007235	Breviolum92807	K12132
OG0000702	Breviolum31803	K24553
OG0001523	Breviolum70876	K21919
OG0006013	Breviolum33322	K14539
OG0001959	Breviolum81390	K02183
OG0007620	Breviolum99632	K22390
OG0003162	Breviolum62850	K00592
OG0000705	Breviolum182105	K24485
OG0000041	Breviolum84981	K13412
OG0002142	Breviolum47193	K25442
OG0003489	Breviolum343761	K18764
OG0000004	Breviolum68772	K13412
OG0000181	Breviolum2244	K07151
OG0006706	Breviolum9739	K11827
OG0001967	Breviolum67250	K01322
OG0000012	Breviolum62259	K03283
OG0002196	Breviolum291851	K13023
OG0000124	Breviolum89576	K01395
OG0001463	Breviolum47416	K08287
OG0001440	Breviolum265978	K12837
OG0003002	Breviolum63803	K00390
OG0004616	Breviolum70174	K05849
OG0002756	Breviolum173859	K04977
OG0006479	Breviolum9141	K01881
OG0005558	Breviolum172768	K04838
OG0004898	Breviolum95864	K16175
OG0007541	Breviolum71010	K12662
OG0006273	Breviolum237243	K10807
OG0000575	Breviolum343623	K02327
OG0002036	Breviolum352984	K22762
OG0000359	Breviolum31918	K10380
OG0003731	Breviolum49169	K06130
OG0005326	Breviolum207190	K16055
OG0002004	Breviolum207205	K25767
OG0005098	Breviolum62425	K01951
OG0006893	Breviolum50232	K16675
OG0002463	Breviolum98861	K01090
OG0004045	Breviolum35200	K04459
OG0003515	Breviolum354685	K01787
OG0000961	Breviolum90513	K00020
OG0000004	Breviolum57909	K13412
OG0006012	Breviolum211596	K06180
OG0003228	Breviolum71095	K14407
OG0001450	Breviolum67483	K01527
OG0000572	Breviolum266789	K00264
OG0000195	Breviolum51054	K12132
OG0000011	Breviolum59507	K08857
OG0006847	Breviolum28380	K08998
OG0000751	Breviolum88197	K11481
OG0002009	Breviolum62751	K25475
OG0004706	Breviolum20113	K16545
OG0004249	Breviolum395261	K01001
OG0001740	Breviolum266814	K03762
OG0003282	Breviolum41054	K09592
OG0002032	Breviolum69558	K13412
OG0003238	Breviolum206220	K01011
OG0000623	Breviolum58432	K09503
OG0000472	Breviolum311090	K10669
OG0000510	Breviolum311193	K24512
OG0004138	Breviolum57954	K04771
OG0006473	Breviolum98984	K14856
OG0000671	Breviolum6211	K05012
OG0000571	Breviolum227430	K04841
OG0000498	Breviolum74717	K05010
OG0002762	Breviolum99681	K01267
OG0002062	Breviolum24047	K02603
OG0000029	Breviolum28605	K04957
OG0002409	Breviolum68955	K09499
OG0000180	Breviolum366544	K07374
OG0002586	Breviolum303727	K02183
OG0000145	Breviolum5678	K01076
OG0005895	Breviolum180353	K14803
OG0005351	Breviolum345287	K03105
OG0007082	Breviolum95856	K09488
OG0002485	Breviolum32022	K03929
OG0005278	Breviolum7860	K10860
OG0004973	Breviolum206804	K00898
OG0002101	Breviolum59789	K01092
OG0000593	Breviolum243718	K02971
OG0000417	Breviolum182677	K07374
OG0002185	Breviolum82819	K11968
OG0006262	Breviolum70678	K00856
OG0003372	Breviolum69210	K16462
OG0000769	Breviolum28460	K02925
OG0007351	Breviolum30724	K00902
OG0001637	Breviolum264760	K04712
OG0000906	Breviolum69712	K02889
OG0005599	Breviolum74429	K13412
OG0001271	Breviolum4680	K15113
OG0000015	Breviolum178249	K12835
OG0002218	Breviolum69703	K10599
OG0001272	Breviolum3501	K11426
OG0007264	Breviolum17169	K00898
OG0001996	Breviolum315928	K06183
OG0001338	Breviolum18835	K10380
OG0006996	Breviolum350767	K05681
OG0005147	Breviolum70205	K12193
OG0002126	Breviolum36897	K15173
OG0007739	Breviolum236163	K24925
OG0001047	Breviolum351418	K14298
OG0000567	Breviolum78479	K05349
OG0005659	Breviolum61881	K11547
OG0000323	Breviolum190498	K12598
OG0004074	Breviolum302696	K04875
OG0000302	Breviolum32185	K02575
OG0000116	Breviolum27413	K11323
OG0004839	Breviolum385937	K02371
OG0002957	Breviolum8851	K22767
OG0000947	Breviolum234141	K17943
OG0003324	Breviolum86844	K04515
OG0002910	Breviolum18296	K03768
OG0007490	Breviolum206524	K01373
OG0006166	Breviolum72109	K22746
OG0001283	Breviolum304153	K01872
OG0004795	Breviolum209050	K02371
OG0000965	Breviolum63087	K11751
OG0004897	Breviolum54187	K17893
OG0004756	Breviolum58680	K12796
OG0000769	Breviolum53199	K02925
OG0001358	Breviolum170910	K12479
OG0005344	Breviolum70641	K12011
OG0001818	Breviolum99741	K03292
OG0000354	Breviolum303116	K19704
OG0005897	Breviolum391443	K12445
OG0000351	Breviolum98704	K15276
OG0005674	Breviolum206485	K22991
OG0000685	Breviolum69744	K15015
OG0007460	Breviolum304644	K15738
OG0004316	Breviolum209744	K00018
OG0002135	Breviolum81631	K24842
OG0000481	Breviolum2389	K19626
OG0004720	Breviolum98948	K00826
OG0001525	Breviolum86725	K08857
OG0006079	Breviolum98408	K16345
OG0005858	Breviolum285483	K07952
OG0001957	Breviolum59942	K01210
OG0006496	Breviolum82355	K03798
OG0005917	Breviolum347648	K07560
OG0001406	Breviolum267448	K21862
OG0006954	Breviolum62739	K01682
OG0005306	Breviolum269668	K21760
OG0004744	Breviolum98588	K15113
OG0001828	Breviolum52793	K01811
OG0004894	Breviolum9656	K06963
OG0003301	Breviolum89478	K14838
OG0003140	Breviolum94031	K02109
OG0000334	Breviolum192501	K17677
OG0006641	Breviolum79807	K08869
OG0000915	Breviolum22992	K14326
OG0000130	Breviolum68586	K00134
OG0006483	Breviolum213642	K20893
OG0006095	Breviolum81761	K00609
OG0005883	Breviolum93999	K08342
OG0006186	Breviolum55197	K15503
OG0003189	Breviolum16676	K19367
OG0004185	Breviolum166803	K02694
OG0000706	Breviolum49599	K18703
OG0002390	Breviolum64925	K14826
OG0000523	Breviolum18770	K06188
OG0006878	Breviolum235821	K04075
OG0000828	Breviolum192868	K01180
OG0007268	Breviolum89796	K17609
OG0007175	Breviolum74759	K19176
OG0000153	Breviolum19493	K00927
OG0006843	Breviolum9511	K10380
OG0006242	Breviolum264940	K07583
OG0004831	Breviolum274970	K19745
OG0004610	Breviolum52946	K02876
OG0004108	Breviolum46542	K09181
OG0003321	Breviolum170798	K04043
OG0001066	Breviolum412375	K00235
OG0005036	Breviolum227799	K12132
OG0005577	Breviolum403388	K07889
OG0004462	Breviolum170724	K13293
OG0007456	Breviolum49267	K17892
OG0003026	Breviolum55958	K02887
OG0000310	Breviolum20955	K02957
OG0000074	Breviolum63589	K04885
OG0002976	Breviolum1716	K09554
OG0007003	Breviolum69205	K15110
OG0004413	Breviolum35892	K01103
OG0003747	Breviolum71642	K01567
OG0001878	Breviolum98430	K21970
OG0001253	Breviolum58121	K01534
OG0003877	Breviolum85245	K13996
OG0000608	Breviolum174632	K03798
OG0006775	Breviolum8944	K12483
OG0000508	Breviolum93940	K03070
OG0002973	Breviolum6953	K22503
OG0007420	Breviolum6804	K10260
OG0004798	Breviolum274552	K19684
OG0007173	Breviolum275324	K03671
OG0005236	Breviolum62381	K02945
OG0005600	Breviolum83583	K12405
OG0000310	Breviolum99528	K02957
OG0000011	Breviolum82071	K08857
OG0003695	Breviolum69658	K03509
OG0003797	Breviolum48968	K03217
OG0003432	Breviolum228603	K10165
OG0003349	Breviolum49144	K12486
OG0002857	Breviolum79579	K05794
OG0001032	Breviolum238671	K00077
OG0000815	Breviolum351904	K04986
OG0004559	Breviolum167318	K17600
OG0004248	Breviolum74255	K16066
OG0007457	Breviolum74995	K04905
OG0006258	Breviolum2489	K04456
OG0000318	Breviolum174818	K17592
OG0005767	Breviolum192030	K07968
OG0002824	Breviolum311390	K11808
OG0001279	Breviolum83381	K12122
OG0000166	Breviolum278752	K04567
OG0000751	Breviolum71097	K11481
OG0007388	Breviolum81681	K01265
OG0000053	Breviolum390036	K08957
OG0003491	Breviolum49903	K17808
OG0000311	Breviolum51608	K23424
OG0001041	Breviolum311792	K06941
OG0006676	Breviolum87835	K14944
OG0003070	Breviolum69902	K00981
OG0006725	Breviolum62663	K10380
OG0002959	Breviolum231621	K25547
OG0001843	Breviolum93486	K01176
OG0001321	Breviolum280102	K03218
OG0000281	Breviolum59364	K10380
OG0000273	Breviolum33842	K20028
OG0003346	Breviolum39539	K10733
OG0004186	Breviolum57532	K13179
OG0001495	Breviolum48721	K04445
OG0000052	Breviolum47039	K04739
OG0005284	Breviolum230228	K17911
OG0003818	Breviolum308934	K25610
OG0007668	Breviolum23994	K12132
OG0001322	Breviolum268243	K13126
OG0003052	Breviolum17099	K04956
OG0001438	Breviolum388753	K13696
OG0000380	Breviolum350859	K14835
OG0005001	Breviolum318278	K16639
OG0005688	Breviolum306879	K02690
OG0004926	Breviolum62302	K23729
OG0006065	Breviolum269510	K23978
OG0005382	Breviolum97029	K25166
OG0002156	Breviolum75000	K12319
OG0006078	Breviolum50878	K11990
OG0003807	Breviolum89177	K06917
OG0000013	Breviolum91289	K10325
OG0004729	Breviolum55525	K15272
OG0005179	Breviolum70874	K09571
OG0001298	Breviolum386771	K16634
OG0003506	Breviolum6579	K14402
OG0000460	Breviolum96005	K16726
OG0002570	Breviolum273007	K17080
OG0000008	Breviolum90571	K03686
OG0002046	Breviolum207578	K11187
OG0005757	Breviolum68525	K03695
OG0002180	Breviolum68413	K17459
OG0000084	Breviolum78256	K13025
OG0005099	Breviolum313729	K13412
OG0001011	Breviolum208145	K17759
OG0004054	Breviolum59964	K02365
OG0002719	Breviolum47231	K16748
OG0000005	Breviolum172165	K10396
OG0000006	Breviolum33696	K12442
OG0000767	Breviolum302798	K20416
OG0000742	Breviolum89302	K00688
OG0000124	Breviolum99728	K08076
OG0006557	Breviolum62477	K20791
OG0004176	Breviolum9009	K22193
OG0003279	Breviolum308641	K15335
OG0004678	Breviolum194347	K24473
OG0003832	Breviolum164368	K03515
OG0000184	Breviolum226189	K02183
OG0005122	Breviolum171130	K20224
OG0003146	Breviolum268244	K09660
OG0001831	Breviolum383556	K05755
OG0005527	Breviolum69269	K24175
OG0004033	Breviolum230725	K00059
OG0000845	Breviolum70950	K03327
OG0000541	Breviolum264652	K10840
OG0006204	Breviolum92484	K21440
OG0002846	Breviolum309672	K11969
OG0001258	Breviolum70707	K03535
OG0002783	Breviolum185232	K01251
OG0001007	Breviolum351872	K19882
OG0000022	Breviolum233675	K01802
OG0002262	Breviolum33055	K14016
OG0002205	Breviolum271691	K13907
OG0001005	Breviolum33162	K12877
OG0003802	Breviolum29599	K11753
OG0000178	Breviolum96933	K02984
OG0007316	Breviolum32829	K13111
OG0004673	Breviolum33543	K15381
OG0000577	Breviolum70721	K04951
OG0004925	Breviolum62301	K20800
OG0000510	Breviolum269216	K24512
OG0003610	Breviolum198896	K11857
OG0000701	Breviolum184617	K23257
OG0007260	Breviolum71575	K06693
OG0006316	Breviolum55013	K00939
OG0001241	Breviolum50714	K12812
OG0003811	Breviolum52853	K20367
OG0003719	Breviolum176266	K24155
OG0007471	Breviolum346159	K00615
OG0006248	Breviolum385461	K01114
OG0001566	Breviolum167763	K01885
OG0002623	Breviolum175084	K12823
OG0003292	Breviolum51209	K03426
OG0007014	Breviolum68205	K06641
OG0000013	Breviolum72401	K10380
OG0005551	Breviolum351308	K00816
OG0000847	Breviolum334356	K17285
OG0003492	Breviolum50866	K02261
OG0005437	Breviolum91603	K10859
OG0001086	Breviolum313152	K25470
OG0005967	Breviolum393254	K23565
OG0000581	Breviolum208352	K19329
OG0001532	Breviolum42438	K00079
OG0000273	Breviolum4908	K20028
OG0004468	Breviolum32315	K04720
OG0002521	Breviolum75033	K14994
OG0000102	Breviolum384831	K00645
OG0005729	Breviolum372852	K00318
OG0000244	Breviolum268403	K11412
OG0001066	Breviolum27902	K00240
OG0002482	Breviolum88507	K10396
OG0000667	Breviolum244246	K01915
OG0000040	Breviolum165235	K13761
OG0003176	Breviolum63729	K11811
OG0000633	Breviolum98781	K22763
OG0003174	Breviolum53541	K09230
OG0000318	Breviolum94081	K17592
OG0007009	Breviolum320243	K00025
OG0001602	Breviolum89870	K05656
OG0000004	Breviolum233298	K13412
OG0006970	Breviolum391320	K01517
OG0004366	Breviolum390918	K09013
OG0001656	Breviolum304040	K22761
OG0004643	Breviolum94229	K04409
OG0001990	Breviolum387500	K02991
OG0003187	Breviolum50629	K19760
OG0002177	Breviolum271559	K01557
OG0007057	Breviolum353142	K00387
OG0005898	Breviolum208485	K00227
OG0002622	Breviolum9243	K06133
OG0007605	Breviolum28366	K08151
OG0001949	Breviolum268650	K19750
OG0000395	Breviolum81448	K08796
OG0004408	Breviolum71389	K17619
OG0000586	Breviolum62642	K03978
OG0006804	Breviolum99489	K12132
OG0000582	Breviolum37281	K08738
OG0000031	Breviolum60994	K06180
OG0005815	Breviolum3203	K01522
OG0005947	Breviolum90327	K18953
OG0005266	Breviolum63648	K20876
OG0005477	Breviolum3379	K03798
OG0002738	Breviolum352869	K14457
OG0000819	Breviolum70121	K16900
OG0002543	Breviolum8618	K21440
OG0000012	Breviolum318172	K04043
OG0006712	Breviolum33012	K00021
OG0004057	Breviolum227858	K03510
OG0001841	Breviolum22453	K15104
OG0007193	Breviolum94957	K10768
OG0000055	Breviolum388587	K10615
OG0006023	Breviolum395697	K15692
OG0000742	Breviolum387190	K00688
OG0001596	Breviolum271690	K00645
OG0000506	Breviolum50783	K11098
OG0004285	Breviolum2986	K10805
OG0001459	Breviolum99684	K09560
OG0006614	Breviolum27711	K14759
OG0000067	Breviolum275227	K01365
OG0005422	Breviolum346859	K13347
OG0001502	Breviolum74842	K25608
OG0000338	Breviolum68246	K02355
OG0003534	Breviolum65617	K07198
OG0007101	Breviolum277960	K09142
OG0004144	Breviolum193074	K03778
OG0004978	Breviolum62504	K00967
OG0003756	Breviolum214344	K03231
OG0001148	Breviolum25304	K07466
OG0000275	Breviolum396985	K04079
OG0001061	Breviolum225874	K10615
OG0000863	Breviolum19212	K01250
OG0000082	Breviolum7409	K25230
OG0005920	Breviolum70200	K08844
OG0002351	Breviolum95723	K00483
OG0001086	Breviolum98860	K25470
OG0003615	Breviolum33334	K01625
OG0001386	Breviolum347443	K00814
OG0000027	Breviolum88044	K10405
OG0007482	Breviolum343584	K13412
OG0001248	Breviolum230474	K08341
OG0006590	Breviolum210718	K20101
OG0003943	Breviolum69557	K10664
OG0001578	Breviolum387810	K19603
OG0000189	Breviolum205789	K13614
OG0000621	Breviolum384965	K18757
OG0007475	Breviolum55521	K13288
OG0001300	Breviolum78407	K25894
OG0000315	Breviolum178639	K02256
OG0002668	Breviolum307491	K02087
OG0000940	Breviolum59517	K08869
OG0001434	Breviolum273308	K17619
OG0001262	Breviolum62436	K03320
OG0000004	Breviolum232330	K13412
OG0007701	Breviolum63363	K23964
OG0002513	Breviolum58167	K13207
OG0000633	Breviolum233958	K22763
OG0003402	Breviolum83448	K05917
OG0000398	Breviolum97410	K10799
OG0000603	Breviolum31463	K01382
OG0006385	Breviolum267027	K05665
OG0002888	Breviolum5093	K04097
OG0006769	Breviolum228777	K23003
OG0002924	Breviolum8735	K00326
OG0004321	Breviolum28185	K10578
OG0001667	Breviolum343637	K09553
OG0000678	Breviolum65733	K11152
OG0002705	Breviolum69310	K09527
OG0002834	Breviolum33552	K17943
OG0000583	Breviolum74477	K14415
OG0006994	Breviolum234158	K15789
OG0006689	Breviolum89308	K10395
OG0000089	Breviolum69887	K10408
OG0003829	Breviolum68796	K13291
OG0000723	Breviolum49178	K08287
OG0001734	Breviolum290512	K03686
OG0002810	Breviolum63843	K03260
OG0005553	Breviolum383315	K10768
OG0000274	Breviolum82489	K05012
OG0000019	Breviolum94189	K14326
OG0007177	Breviolum392105	K10974
OG0006558	Breviolum93391	K06699
OG0003059	Breviolum89048	K01657
OG0000418	Breviolum356122	K04554
OG0000315	Breviolum301217	K02256
OG0006914	Breviolum68378	K13126
OG0001898	Breviolum208820	K23164
OG0001886	Breviolum82218	K03660
OG0000449	Breviolum74432	K03164
OG0000434	Breviolum50366	K06269
OG0006765	Breviolum62216	K10580
OG0004549	Breviolum49438	K22762
OG0002140	Breviolum89570	K13291
OG0000341	Breviolum308101	K12172
OG0001252	Breviolum92995	K16726
OG0004409	Breviolum47160	K01285
OG0000205	Breviolum34495	K17964
OG0003880	Breviolum59360	K01190
OG0002649	Breviolum226560	K00045
