OG0007698	Breviolum255657	K19787
OG0000071	Breviolum548635	K10799
OG0000479	Breviolum703785	K00958
OG0008211	Breviolum99516	K01885
OG0001617	Breviolum216090	K13907
OG0002250	Breviolum239528	K17943
OG0005952	Breviolum160433	K13750
OG0002424	Breviolum599745	K13126
OG0001051	Breviolum685481	K12860
OG0007407	Breviolum60194	K06641
OG0001074	Breviolum358272	K02893
OG0006707	Breviolum232399	K04905
OG0003014	Breviolum80956	K07943
OG0008491	Breviolum147371	K05592
OG0000280	Breviolum405810	K03231
OG0000094	Breviolum325153	K00600
OG0005506	Breviolum261677	K04908
OG0003547	Breviolum75680	K11092
OG0001242	Breviolum839993	K05273
OG0006429	Breviolum265230	K23902
OG0000488	Breviolum737113	K00327
OG0006477	Breviolum202657	K24796
OG0003508	Breviolum602758	K08582
OG0008671	Breviolum235489	K14990
OG0007042	Breviolum62609	K05941
OG0006974	Breviolum350184	K03437
OG0006610	Breviolum213136	K03327
OG0005249	Breviolum350755	K16175
OG0002799	Breviolum420952	K10595
OG0007054	Breviolum296985	K07115
OG0000497	Breviolum763373	K01226
OG0001037	Breviolum13562	K02634
OG0000169	Breviolum847255	K11204
OG0009342	Breviolum193941	K22403
OG0001954	Breviolum624079	K11170
OG0004378	Breviolum308405	K22857
OG0003311	Breviolum610432	K03929
OG0000347	Breviolum422289	K07936
OG0004475	Breviolum259803	K04344
OG0001478	Breviolum186908	K05662
OG0000055	Breviolum230811	K05849
OG0002089	Breviolum231108	K23732
OG0005744	Breviolum1155	K06176
OG0001437	Breviolum774205	K05309
OG0000092	Breviolum504306	K02183
OG0010165	Breviolum527375	K02183
OG0000663	Breviolum161222	K21396
OG0005191	Breviolum172572	K15634
OG0003216	Breviolum310147	K00128
OG0008452	Breviolum72987	K00002
OG0000271	Breviolum553256	K02989
OG0004665	Breviolum314495	K00006
OG0008098	Breviolum185359	K11968
OG0000019	Breviolum215762	K08582
OG0000948	Breviolum212589	K03773
OG0003913	Breviolum388339	K19760
OG0005208	Breviolum693506	K16912
OG0005749	Breviolum173731	K21064
OG0003143	Breviolum9107	K00969
OG0005954	Breviolum138403	K16794
OG0000191	Breviolum794432	K01738
OG0000011	Breviolum522752	K10380
OG0009718	Breviolum4712	K24195
OG0002876	Breviolum457294	K15111
OG0005458	Breviolum583225	K18551
OG0000088	Breviolum163243	K01363
OG0003103	Breviolum401405	K10865
OG0001946	Breviolum98636	K04373
OG0008968	Breviolum268771	K01090
OG0002014	Breviolum840787	K16052
OG0007008	Breviolum535691	K20893
OG0000797	Breviolum401529	K01135
OG0002756	Breviolum463281	K08738
OG0007188	Breviolum98187	K06180
OG0002249	Breviolum187138	K00789
OG0006554	Breviolum26184	K22207
OG0004778	Breviolum606263	K08679
OG0001790	Breviolum469275	K16264
OG0002832	Breviolum83514	K01720
OG0002130	Breviolum162365	K03675
OG0010042	Breviolum868680	K11160
OG0001412	Breviolum611486	K09498
OG0001085	Breviolum192823	K19755
OG0000958	Breviolum167349	K16310
OG0002024	Breviolum57521	K00939
OG0000558	Breviolum370311	K11161
OG0000903	Breviolum136669	K14298
OG0000982	Breviolum191582	K00382
OG0001845	Breviolum772888	K01885
OG0001057	Breviolum308517	K09680
OG0000494	Breviolum316333	K03235
OG0000556	Breviolum269910	K10405
OG0005775	Breviolum38662	K06901
OG0000168	Breviolum418657	K02953
OG0008998	Breviolum105649	K15276
OG0008199	Breviolum98159	K01613
OG0007578	Breviolum272594	K14292
OG0007185	Breviolum272418	K15976
OG0008076	Breviolum306625	K21121
OG0005055	Breviolum290700	K06173
OG0007289	Breviolum213186	K01792
OG0009656	Breviolum189322	K17260
OG0000113	Breviolum220439	K12132
OG0009819	Breviolum841076	K22763
OG0009367	Breviolum862090	K00142
OG0006534	Breviolum307193	K09506
OG0009044	Breviolum703884	K17893
OG0006572	Breviolum473777	K01724
OG0000477	Breviolum695725	K02976
OG0000413	Breviolum88541	K04956
OG0005590	Breviolum38396	K14855
OG0000810	Breviolum603650	K07300
OG0000444	Breviolum323717	K07304
OG0001387	Breviolum25034	K01897
OG0008872	Breviolum229696	K09990
OG0006426	Breviolum458889	K09592
OG0009627	Breviolum4663	K10860
OG0002573	Breviolum382057	K07516
OG0008918	Breviolum64146	K01519
OG0007895	Breviolum230519	K25656
OG0007443	Breviolum242079	K01625
OG0001931	Breviolum267905	K12493
OG0004735	Breviolum254758	K15196
OG0002726	Breviolum813414	K03030
OG0000931	Breviolum55100	K11816
OG0000100	Breviolum223018	K10860
OG0000361	Breviolum386729	K17725
OG0006585	Breviolum43108	K01240
OG0003930	Breviolum325168	K09649
OG0010052	Breviolum280967	K22524
OG0002720	Breviolum25435	K24205
OG0000187	Breviolum481687	K12877
OG0008932	Breviolum683037	K21440
OG0010145	Breviolum681272	K06133
OG0006879	Breviolum203577	K00931
OG0009030	Breviolum215731	K08737
OG0002135	Breviolum201838	K25896
OG0001036	Breviolum883630	K01537
OG0003471	Breviolum340216	K11494
OG0002552	Breviolum210079	K00799
OG0009076	Breviolum70082	K09512
OG0000926	Breviolum606436	K25550
OG0009066	Breviolum201552	K04461
OG0005693	Breviolum355915	K24725
OG0001258	Breviolum331329	K10875
OG0000615	Breviolum639785	K19009
OG0000263	Breviolum603570	K18703
OG0001626	Breviolum858285	K07375
OG0003126	Breviolum605102	K10418
OG0000520	Breviolum635533	K09580
OG0010099	Breviolum694947	K00079
OG0008868	Breviolum691369	K14079
OG0002088	Breviolum896673	K22900
OG0009067	Breviolum846342	K03768
OG0004304	Breviolum602633	K23541
OG0005805	Breviolum623418	K11323
OG0000012	Breviolum418985	K10355
OG0004450	Breviolum463208	K01674
OG0001347	Breviolum192659	K04905
OG0000874	Breviolum300276	K10406
OG0003835	Breviolum689759	K03841
OG0001948	Breviolum150369	K16310
OG0000118	Breviolum842210	K07937
OG0000431	Breviolum458816	K08582
OG0000682	Breviolum387563	K00469
OG0000092	Breviolum31864	K02183
OG0001648	Breviolum201218	K24543
OG0005395	Breviolum219019	K08796
OG0006848	Breviolum191409	K15283
OG0007633	Breviolum98730	K12846
OG0002777	Breviolum691925	K10586
OG0008035	Breviolum43729	K09874
OG0003382	Breviolum575253	K01510
OG0001735	Breviolum457493	K03035
OG0009861	Breviolum400253	K03115
OG0007691	Breviolum760823	K00999
OG0000322	Breviolum162205	K04043
OG0002797	Breviolum12109	K03816
OG0002210	Breviolum162440	K01379
OG0003448	Breviolum238661	K00503
OG0000663	Breviolum574778	K05681
OG0003567	Breviolum683379	K14963
OG0002405	Breviolum480751	K06997
OG0001026	Breviolum99752	K09584
OG0000895	Breviolum441391	K02937
OG0001204	Breviolum389943	K03010
OG0000892	Breviolum383523	K00469
OG0007621	Breviolum221465	K16302
OG0007235	Breviolum415527	K22763
OG0000685	Breviolum242547	K05681
OG0000679	Breviolum680673	K21993
OG0000169	Breviolum760326	K11204
OG0007852	Breviolum849766	K16742
OG0002451	Breviolum543056	K13010
OG0000255	Breviolum97051	K17943
OG0000014	Breviolum315215	K16290
OG0003960	Breviolum769644	K10870
OG0007300	Breviolum542145	K02537
OG0001520	Breviolum30386	K04499
OG0000445	Breviolum104487	K12812
OG0001143	Breviolum338213	K10615
OG0001199	Breviolum348769	K17839
OG0001676	Breviolum853208	K01923
OG0001528	Breviolum209477	K00898
OG0003373	Breviolum786468	K08341
OG0001541	Breviolum845239	K08292
OG0000014	Breviolum303186	K01365
OG0000035	Breviolum19154	K04954
OG0001783	Breviolum316578	K09540
OG0004781	Breviolum101646	K08802
OG0009410	Breviolum250019	K00908
OG0003656	Breviolum55193	K03036
OG0005531	Breviolum310445	K14165
OG0000466	Breviolum768534	K00434
OG0001589	Breviolum143449	K11592
OG0009017	Breviolum136129	K06990
OG0001629	Breviolum168927	K17943
OG0004398	Breviolum299215	K10380
OG0009615	Breviolum163077	K12819
OG0002978	Breviolum480820	K12180
OG0001344	Breviolum197279	K20175
OG0002479	Breviolum281978	K08596
OG0000020	Breviolum459269	K04905
OG0005724	Breviolum230596	K14846
OG0002771	Breviolum524884	K08796
OG0002753	Breviolum683325	K12132
OG0000516	Breviolum437792	K17285
OG0004336	Breviolum562160	K24936
OG0000030	Breviolum421024	K04079
OG0000782	Breviolum530531	K10380
OG0002470	Breviolum523084	K11717
OG0002670	Breviolum212705	K00559
OG0008547	Breviolum840741	K11323
OG0005109	Breviolum301583	K00128
OG0001128	Breviolum687944	K02219
OG0001824	Breviolum358859	K05863
OG0000621	Breviolum531826	K02969
OG0003796	Breviolum143747	K10144
OG0001895	Breviolum191135	K12348
OG0006565	Breviolum851622	K14566
OG0001529	Breviolum102121	K08794
OG0003942	Breviolum213102	K00036
OG0001484	Breviolum550655	K13912
OG0005994	Breviolum380107	K12405
OG0000501	Breviolum466013	K17893
OG0003803	Breviolum254132	K10408
OG0000956	Breviolum610796	K12603
OG0000779	Breviolum396537	K04739
OG0000005	Breviolum218547	K13412
OG0007805	Breviolum629023	K00799
OG0001399	Breviolum763290	K10380
OG0009060	Breviolum106988	K14379
OG0000797	Breviolum697540	K01135
OG0006111	Breviolum612597	K24226
OG0003295	Breviolum482154	K14569
OG0001569	Breviolum135600	K00939
OG0009684	Breviolum134542	K24838
OG0001979	Breviolum231569	K10477
OG0001523	Breviolum628052	K13207
OG0000127	Breviolum26462	K04739
OG0010176	Breviolum315256	K07376
OG0003804	Breviolum134747	K12132
OG0004738	Breviolum96567	K20346
OG0005364	Breviolum604272	K14541
OG0000072	Breviolum328641	K14379
OG0000163	Breviolum85615	K20715
OG0000663	Breviolum377387	K05679
OG0000256	Breviolum339077	K04850
OG0002867	Breviolum647685	K01952
OG0001662	Breviolum98857	K03686
OG0003004	Breviolum765192	K01644
OG0004189	Breviolum38064	K07024
OG0002810	Breviolum699519	K00925
OG0009734	Breviolum13175	K10860
OG0000780	Breviolum293379	K04802
OG0002056	Breviolum847844	K25805
OG0005341	Breviolum330072	K03438
OG0000317	Breviolum327058	K02873
OG0002423	Breviolum466490	K15502
OG0000531	Breviolum442650	K06911
OG0001365	Breviolum271277	K06944
OG0004564	Breviolum299067	K05841
OG0000287	Breviolum96264	K01953
OG0002039	Breviolum263537	K02355
OG0005349	Breviolum37556	K10455
OG0005164	Breviolum104924	K00816
OG0002963	Breviolum34395	K03038
OG0002648	Breviolum15418	K03424
OG0001984	Breviolum39404	K00002
OG0001692	Breviolum361495	K17497
OG0006428	Breviolum163307	K21396
OG0008365	Breviolum608543	K00327
OG0003666	Breviolum213526	K08832
OG0003104	Breviolum309161	K01110
OG0006501	Breviolum606202	K10799
OG0004313	Breviolum459438	K21952
OG0000695	Breviolum607723	K00012
OG0009770	Breviolum410867	K08869
OG0009257	Breviolum366317	K01379
OG0004191	Breviolum713928	K17777
OG0003511	Breviolum857302	K14963
OG0004621	Breviolum528360	K00762
OG0004536	Breviolum286923	K11969
OG0001766	Breviolum190083	K02951
OG0005497	Breviolum762455	K02895
OG0004748	Breviolum248850	K06826
OG0003604	Breviolum326423	K22132
OG0005091	Breviolum331907	K13348
OG0003843	Breviolum60247	K10380
OG0003418	Breviolum762480	K17677
OG0004628	Breviolum193749	K21760
OG0000848	Breviolum39198	K15083
OG0000509	Breviolum97041	K02889
OG0009509	Breviolum604020	K07376
OG0001264	Breviolum357948	K04950
OG0005065	Breviolum525840	K02864
OG0002510	Breviolum299293	K07407
OG0003214	Breviolum320726	K21970
OG0000087	Breviolum437316	K07374
OG0004517	Breviolum420019	K02703
OG0001193	Breviolum785072	K02739
OG0009382	Breviolum538180	K12400
OG0007098	Breviolum42556	K03686
OG0001848	Breviolum459364	K06130
OG0004728	Breviolum197297	K14538
OG0001360	Breviolum740973	K02923
OG0000066	Breviolum454383	K02183
OG0006178	Breviolum298814	K13123
OG0000118	Breviolum783123	K07937
OG0001908	Breviolum166746	K12842
OG0009095	Breviolum850605	K08727
OG0009036	Breviolum191128	K25739
OG0002813	Breviolum705452	K03254
OG0002962	Breviolum266310	K07198
OG0001746	Breviolum695913	K13989
OG0003806	Breviolum537957	K00928
OG0009563	Breviolum285163	K00967
OG0007844	Breviolum47408	K15287
OG0004754	Breviolum695960	K06174
OG0006691	Breviolum97626	K11995
OG0003756	Breviolum785178	K03872
OG0002698	Breviolum629102	K18649
OG0004973	Breviolum635483	K16219
OG0000417	Breviolum537458	K04371
OG0001208	Breviolum188880	K02875
OG0000327	Breviolum132259	K02995
OG0002999	Breviolum356275	K19269
OG0004126	Breviolum338803	K00318
OG0000701	Breviolum161098	K02866
OG0006484	Breviolum365978	K01951
OG0000809	Breviolum164191	K03453
OG0001679	Breviolum155905	K08857
OG0006865	Breviolum686214	K04771
OG0008784	Breviolum768517	K22614
OG0002191	Breviolum202446	K00362
OG0001277	Breviolum98186	K24205
OG0001243	Breviolum535000	K13179
OG0010048	Breviolum531217	K09511
OG0007467	Breviolum618525	K04794
OG0010049	Breviolum230450	K03008
OG0001995	Breviolum457869	K00889
OG0003038	Breviolum284011	K00609
OG0000231	Breviolum877108	K10421
OG0008298	Breviolum232537	K15429
OG0001182	Breviolum849213	K13412
OG0000550	Breviolum260953	K01369
OG0004797	Breviolum484086	K23965
OG0000234	Breviolum1022	K11412
OG0001427	Breviolum878425	K00381
OG0008812	Breviolum58330	K05841
OG0000681	Breviolum714208	K03386
OG0006952	Breviolum192776	K09553
OG0001223	Breviolum250571	K01179
OG0009714	Breviolum245801	K00327
OG0000485	Breviolum846761	K02915
OG0000955	Breviolum796967	K15111
OG0008807	Breviolum37155	K02325
OG0006951	Breviolum839928	K13151
OG0000247	Breviolum700584	K01379
OG0001982	Breviolum222823	K02210
OG0009937	Breviolum233065	K16043
OG0000112	Breviolum885414	K02256
OG0001621	Breviolum467902	K24512
OG0000758	Breviolum853193	K10455
OG0000458	Breviolum448625	K02183
OG0007074	Breviolum700392	K17623
OG0001033	Breviolum694517	K24148
OG0008346	Breviolum346947	K14810
OG0006299	Breviolum381969	K18633
OG0007842	Breviolum468581	K10380
OG0009591	Breviolum286187	K08869
OG0000744	Breviolum245019	K17535
OG0005325	Breviolum286885	K07241
OG0001176	Breviolum33826	K11209
OG0000411	Breviolum168787	K02114
OG0000172	Breviolum277504	K02209
OG0001589	Breviolum522650	K11592
OG0008576	Breviolum276165	K11426
OG0000333	Breviolum38172	K17681
OG0008870	Breviolum686399	K11153
OG0008780	Breviolum606466	K01205
OG0007530	Breviolum849971	K15381
OG0010079	Breviolum193020	K22684
OG0000263	Breviolum603325	K18703
OG0007679	Breviolum99326	K17261
OG0001171	Breviolum109867	K12323
OG0000059	Breviolum688947	K04905
OG0004472	Breviolum616845	K15111
OG0001401	Breviolum528859	K13412
OG0000155	Breviolum444608	K09571
OG0000377	Breviolum466433	K02945
OG0005010	Breviolum111115	K10805
OG0003839	Breviolum98216	K06173
OG0000920	Breviolum532476	K01866
OG0000417	Breviolum471471	K04371
OG0000014	Breviolum901817	K01365
OG0003848	Breviolum764579	K16054
OG0000158	Breviolum846046	K10808
OG0000017	Breviolum564337	K11085
OG0008194	Breviolum681965	K22763
OG0004065	Breviolum327947	K05275
OG0003654	Breviolum290265	K04851
OG0000323	Breviolum795853	K00234
OG0006622	Breviolum212987	K12623
OG0000188	Breviolum488793	K16780
OG0000817	Breviolum322562	K18826
OG0007461	Breviolum367298	K18442
OG0008887	Breviolum778284	K02975
OG0001818	Breviolum161054	K00218
OG0005706	Breviolum340560	K02835
OG0000926	Breviolum293000	K25550
OG0006557	Breviolum269576	K11990
OG0005373	Breviolum57457	K10380
OG0001156	Breviolum356757	K02716
OG0001434	Breviolum169247	K01834
OG0004491	Breviolum459984	K23330
OG0000025	Breviolum284068	K14326
OG0008061	Breviolum298978	K10455
OG0005584	Breviolum326330	K10380
OG0002684	Breviolum616851	K06210
OG0004824	Breviolum524652	K17279
OG0006910	Breviolum64071	K13115
OG0001174	Breviolum862033	K14652
OG0001185	Breviolum612642	K00058
OG0000706	Breviolum59373	K21953
OG0006222	Breviolum97544	K20184
OG0002184	Breviolum185865	K12035
OG0000297	Breviolum534112	K02987
OG0001512	Breviolum126719	K10949
OG0007943	Breviolum771826	K05841
OG0000791	Breviolum420335	K22684
OG0001037	Breviolum64301	K02634
OG0002050	Breviolum239246	K00604
OG0005013	Breviolum265909	K16794
OG0007959	Breviolum167111	K11982
OG0001633	Breviolum441242	K15259
OG0000174	Breviolum214991	K08565
OG0004193	Breviolum58639	K13291
OG0009652	Breviolum62093	K09579
OG0000137	Breviolum615690	K02155
OG0003830	Breviolum97195	K01148
OG0002722	Breviolum563091	K04649
OG0000282	Breviolum609200	K00688
OG0000022	Breviolum770990	K12820
OG0006027	Breviolum458946	K12861
OG0000981	Breviolum245774	K02964
OG0005505	Breviolum767995	K08151
OG0000015	Breviolum407094	K12823
OG0004051	Breviolum541462	K14141
OG0002664	Breviolum457256	K22282
OG0007127	Breviolum337187	K19499
OG0007567	Breviolum605079	K15175
OG0001614	Breviolum193691	K08855
OG0000514	Breviolum238970	K04373
OG0006187	Breviolum227364	K07950
OG0010174	Breviolum34610	K19882
OG0002472	Breviolum104304	K12872
OG0007377	Breviolum185514	K07238
OG0008846	Breviolum851079	K16482
OG0007335	Breviolum134592	K10658
OG0002553	Breviolum342313	K02040
OG0006478	Breviolum603693	K19525
OG0007136	Breviolum228416	K16196
OG0003591	Breviolum136477	K10411
OG0008151	Breviolum151986	K08857
OG0002564	Breviolum770267	K18059
OG0001247	Breviolum522763	K06515
OG0004042	Breviolum227798	K15537
OG0000985	Breviolum495156	K02929
OG0010161	Breviolum234288	K14209
OG0003069	Breviolum109279	K24113
OG0002006	Breviolum192299	K00058
OG0000320	Breviolum776343	K21440
OG0007963	Breviolum288740	K10595
OG0003193	Breviolum265913	K10380
OG0009352	Breviolum141519	K19382
OG0001360	Breviolum294717	K02923
OG0000094	Breviolum540881	K00600
OG0003538	Breviolum53912	K01661
OG0004764	Breviolum166499	K14079
OG0001929	Breviolum318071	K10407
OG0000344	Breviolum450014	K07976
OG0008558	Breviolum859216	K10277
OG0004634	Breviolum6476	K10380
OG0000717	Breviolum768690	K02704
OG0005253	Breviolum99364	K17839
OG0003251	Breviolum526030	K11703
OG0008423	Breviolum607136	K13956
OG0002682	Breviolum526609	K22848
OG0002709	Breviolum374096	K00592
OG0000811	Breviolum647291	K01214
OG0000186	Breviolum488674	K06630
OG0002956	Breviolum687886	K11094
OG0001898	Breviolum902034	K00383
OG0010163	Breviolum87466	K10669
OG0009224	Breviolum359185	K14856
OG0005060	Breviolum539495	K07766
OG0000942	Breviolum201688	K08869
OG0010135	Breviolum215347	K01772
OG0000649	Breviolum257656	K00710
OG0003375	Breviolum261504	K03327
OG0001851	Breviolum93393	K02998
OG0001080	Breviolum775130	K06627
OG0006120	Breviolum297576	K02183
OG0009789	Breviolum258200	K21862
OG0005781	Breviolum601776	K00232
OG0006904	Breviolum207911	K12188
OG0000046	Breviolum618038	K15032
OG0001141	Breviolum706832	K14427
OG0000441	Breviolum502961	K07198
OG0008716	Breviolum316887	K04460
OG0006589	Breviolum96021	K05021
OG0002029	Breviolum608228	K01593
OG0000567	Breviolum286866	K01006
OG0009171	Breviolum405451	K12035
OG0007729	Breviolum691766	K15258
OG0003394	Breviolum683574	K24735
OG0001641	Breviolum132023	K13091
OG0003364	Breviolum156682	K02729
OG0001949	Breviolum364152	K01669
OG0002966	Breviolum880270	K01495
OG0008825	Breviolum202546	K24265
OG0000976	Breviolum870698	K03259
OG0005493	Breviolum277206	K02685
OG0000067	Breviolum769095	K04345
OG0008082	Breviolum61808	K17362
OG0000729	Breviolum787153	K02108
OG0000398	Breviolum734949	K02949
OG0003677	Breviolum465304	K08867
OG0005662	Breviolum627774	K15340
OG0009211	Breviolum214858	K12823
OG0003029	Breviolum528483	K03231
OG0001552	Breviolum528880	K14165
OG0000094	Breviolum764595	K00600
OG0003788	Breviolum638093	K10420
OG0001594	Breviolum153974	K17080
OG0004845	Breviolum527424	K00826
OG0001157	Breviolum285929	K00002
OG0009632	Breviolum339170	K01408
OG0004841	Breviolum14314	K01135
OG0007087	Breviolum308276	K08857
OG0010160	Breviolum576624	K11130
OG0004975	Breviolum609135	K03438
OG0008231	Breviolum311674	K11438
OG0003870	Breviolum482460	K01835
OG0001553	Breviolum186384	K01265
OG0008072	Breviolum239035	K12824
OG0005760	Breviolum462722	K03575
OG0002134	Breviolum234607	K19269
OG0000168	Breviolum413122	K02953
OG0004531	Breviolum268189	K03790
OG0000127	Breviolum389853	K04739
OG0000417	Breviolum862039	K04464
OG0006739	Breviolum212795	K06630
OG0002556	Breviolum7048	K16185
OG0000020	Breviolum291317	K04956
OG0000793	Breviolum304211	K04515
OG0001291	Breviolum368640	K04441
OG0003559	Breviolum690167	K08517
OG0000366	Breviolum164579	K05665
OG0007532	Breviolum540379	K14445
OG0005886	Breviolum214638	K00799
OG0002931	Breviolum659923	K24473
OG0002399	Breviolum474235	K02727
OG0000106	Breviolum230680	K10807
OG0006293	Breviolum39203	K03325
OG0004276	Breviolum348706	K15335
OG0008374	Breviolum780121	K02991
OG0002106	Breviolum162114	K04079
OG0005826	Breviolum370728	K14209
OG0008765	Breviolum163649	K12447
OG0000857	Breviolum340388	K15335
OG0005030	Breviolum38184	K12430
OG0003788	Breviolum58734	K10420
OG0001136	Breviolum845657	K01365
OG0004499	Breviolum58331	K16601
OG0000305	Breviolum218938	K26163
OG0003513	Breviolum609375	K24939
OG0007786	Breviolum234616	K04892
OG0007166	Breviolum428081	K10901
OG0001535	Breviolum169409	K08798
OG0000406	Breviolum98401	K13412
OG0002045	Breviolum387488	K08762
OG0000532	Breviolum772942	K00108
OG0000536	Breviolum289020	K17065
OG0000719	Breviolum266166	K17609
OG0001561	Breviolum212407	K12410
OG0001551	Breviolum607636	K04638
OG0000094	Breviolum776078	K00600
OG0008091	Breviolum841937	K22615
OG0000175	Breviolum63806	K00626
OG0000561	Breviolum778871	K19603
OG0003734	Breviolum843679	K00249
OG0002455	Breviolum766350	K03969
OG0001496	Breviolum604671	K17065
OG0005563	Breviolum844894	K01803
OG0007019	Breviolum230958	K12304
OG0003726	Breviolum616898	K08906
OG0000203	Breviolum249525	K03164
OG0000516	Breviolum468152	K17285
OG0010074	Breviolum265855	K02876
OG0003449	Breviolum11711	K22614
OG0009326	Breviolum682733	K09680
OG0000620	Breviolum553826	K21440
OG0003965	Breviolum419445	K22684
OG0000297	Breviolum685337	K02987
OG0000182	Breviolum167384	K04851
OG0000308	Breviolum117938	K04079
OG0004236	Breviolum37881	K15264
OG0003726	Breviolum584110	K08906
OG0001051	Breviolum451445	K12860
OG0004578	Breviolum556503	K13696
OG0008552	Breviolum262711	K06148
OG0004494	Breviolum198174	K17506
OG0009217	Breviolum329246	K15665
OG0003657	Breviolum295810	K18460
OG0000011	Breviolum198374	K10380
OG0000049	Breviolum46178	K10408
OG0007078	Breviolum258310	K23994
OG0000491	Breviolum97301	K22943
OG0007915	Breviolum602302	K07300
OG0001078	Breviolum464170	K21952
OG0000108	Breviolum284919	K14963
OG0004298	Breviolum685158	K24427
OG0001833	Breviolum862448	K06867
OG0000178	Breviolum193436	K13207
OG0001128	Breviolum550749	K02219
OG0001025	Breviolum871374	K02912
OG0007039	Breviolum320214	K00965
OG0001954	Breviolum257562	K11162
OG0002326	Breviolum847531	K08081
OG0010027	Breviolum847038	K23538
OG0009016	Breviolum288421	K14807
OG0005858	Breviolum399991	K17906
OG0000114	Breviolum611383	K00645
OG0000214	Breviolum613378	K00325
OG0002261	Breviolum531980	K18406
OG0008137	Breviolum20354	K10632
OG0000189	Breviolum571959	K07874
OG0000369	Breviolum854963	K00134
OG0000483	Breviolum540886	K10410
OG0002041	Breviolum389550	K16279
OG0002374	Breviolum834778	K06911
OG0002236	Breviolum212438	K12663
OG0006715	Breviolum272381	K15284
OG0003608	Breviolum459202	K07300
OG0001632	Breviolum335494	K10595
OG0001108	Breviolum288923	K11977
OG0000621	Breviolum102313	K02969
OG0001083	Breviolum292611	K02699
OG0006066	Breviolum779686	K15103
OG0000014	Breviolum492409	K01368
OG0006889	Breviolum472200	K02234
OG0002117	Breviolum306037	K19998
OG0008670	Breviolum617813	K14786
OG0006163	Breviolum116363	K04456
OG0009860	Breviolum163507	K20362
OG0000555	Breviolum489193	K12392
OG0000448	Breviolum625277	K20606
OG0007671	Breviolum62607	K08802
OG0001437	Breviolum518471	K05309
OG0000773	Breviolum335064	K10587
OG0001661	Breviolum699735	K09013
OG0001421	Breviolum280113	K13448
OG0005677	Breviolum604693	K07934
OG0009329	Breviolum202230	K01069
OG0002660	Breviolum129993	K17964
