Breviolum81386	K19678
Breviolum207801	K11982
Breviolum92052	K14549
Breviolum44617	K24028
Breviolum276210	K24611
Breviolum81328	K11718
Breviolum57464	K17943
Breviolum56613	K01915
Breviolum239484	K07198
Breviolum132484	K24683
Breviolum149661	K19041
Breviolum210230	K12440
Breviolum274859	K10380
Breviolum85082	K00784
Breviolum206810	K09586
Breviolum156399	K04097
Breviolum251362	K00545
Breviolum173611	K09571
Breviolum46879	K23257
Breviolum178153	K15397
Breviolum76354	K03327
Breviolum82109	K04309
Breviolum456	K01285
Breviolum139888	K16289
Breviolum274314	K10573
Breviolum41285	K14835
Breviolum40302	K00545
Breviolum277873	K05011
Breviolum60016	K06180
Breviolum80647	K04575
Breviolum116663	K10807
Breviolum84236	K04368
Breviolum72887	K00558
Breviolum65064	K12830
Breviolum150936	K10884
Breviolum42757	K03294
Breviolum86271	K20994
Breviolum94677	K10357
Breviolum57823	K03595
Breviolum275768	K13010
Breviolum14083	K01074
Breviolum56731	K03686
Breviolum42655	K20099
Breviolum58284	K16582
Breviolum273741	K02838
Breviolum121281	K10408
Breviolum174180	K14570
Breviolum240206	K00645
Breviolum55839	K09272
Breviolum175066	K03453
Breviolum67337	K10799
Breviolum21923	K24888
Breviolum91296	K13354
Breviolum146703	K07376
Breviolum211361	K24427
Breviolum277729	K23330
Breviolum179877	K03349
Breviolum172173	K06158
Breviolum84593	K01054
Breviolum95761	K05658
Breviolum46089	K11805
Breviolum105819	K02115
Breviolum78463	K03018
Breviolum275872	K04840
Breviolum105879	K10587
Breviolum58233	K25647
Breviolum275407	K04849
Breviolum59016	K14966
Breviolum105217	K04739
Breviolum86798	K05622
Breviolum148578	K01066
Breviolum143411	K04908
Breviolum131553	K01210
Breviolum248300	K20404
Breviolum103858	K17686
Breviolum80812	K15655
Breviolum147389	K09490
Breviolum186355	K08582
Breviolum239007	K22614
Breviolum57721	K04905
Breviolum243107	K17803
Breviolum278711	K20166
Breviolum135372	K00587
Breviolum80543	K12440
Breviolum148647	K12132
Breviolum118609	K02925
Breviolum119516	K21989
Breviolum214689	K02493
Breviolum69573	K16271
Breviolum95632	K01834
Breviolum96463	K09580
Breviolum210158	K22754
Breviolum49690	K12375
Breviolum30392	K04515
Breviolum126132	K20100
Breviolum61973	K19882
Breviolum158982	K21806
Breviolum271940	K12581
Breviolum23360	K07976
Breviolum45325	K10523
Breviolum84997	K10865
Breviolum276117	K25808
Breviolum160245	K02183
Breviolum158868	K03321
Breviolum12922	K15272
Breviolum68461	K08738
Breviolum57551	K10408
Breviolum18144	K01530
Breviolum51361	K03798
Breviolum209533	K12614
Breviolum3841	K23531
Breviolum20712	K03686
Breviolum175761	K18763
Breviolum238517	K25230
Breviolum57856	K01365
Breviolum156497	K00645
Breviolum65058	K15109
Breviolum212833	K11434
Breviolum154894	K00002
Breviolum70	K01201
Breviolum116878	K16271
Breviolum34337	K14440
Breviolum241246	K13717
Breviolum61806	K13347
Breviolum16278	K13412
Breviolum84874	K00472
Breviolum45821	K00485
Breviolum95233	K00898
Breviolum115778	K23741
Breviolum80890	K13956
Breviolum108161	K22684
Breviolum250526	K12823
Breviolum80613	K03063
Breviolum238607	K13806
Breviolum116737	K03294
Breviolum70632	K25894
Breviolum237207	K13412
Breviolum148111	K01204
Breviolum33814	K06180
Breviolum177608	K13412
Breviolum207745	K05906
Breviolum158861	K25162
Breviolum14576	K10454
Breviolum145893	K05794
Breviolum153212	K09493
Breviolum45777	K17972
Breviolum40814	K06148
Breviolum271232	K07735
Breviolum15989	K12567
Breviolum57103	K08582
Breviolum21132	K00472
Breviolum240265	K03686
Breviolum210939	K03675
Breviolum210303	K00921
Breviolum118619	K22753
Breviolum20689	K11160
Breviolum30657	K01208
Breviolum60620	K07556
Breviolum60412	K04567
Breviolum77322	K10594
Breviolum48315	K17710
Breviolum245217	K06180
Breviolum20465	K15259
Breviolum134095	K05592
Breviolum114184	K09458
Breviolum52587	K08287
Breviolum134713	K08829
Breviolum161039	K01881
Breviolum111318	K00314
Breviolum62328	K15111
Breviolum122421	K23729
Breviolum275119	K10380
Breviolum56429	K08829
Breviolum110485	K10595
Breviolum75869	K21806
Breviolum106989	K03164
Breviolum114958	K01363
Breviolum126866	K06941
Breviolum74226	K22684
Breviolum82829	K10997
Breviolum39510	K11977
Breviolum2352	K00797
Breviolum88523	K24729
Breviolum61136	K11412
Breviolum77732	K07305
Breviolum116889	K01537
Breviolum85087	K06180
Breviolum19855	K04373
Breviolum54842	K01178
Breviolum69251	K11843
Breviolum239725	K05000
Breviolum55129	K15516
Breviolum68189	K10808
Breviolum278015	K25166
Breviolum275770	K03860
Breviolum94104	K13412
Breviolum95937	K24226
Breviolum46245	K13154
Breviolum58041	K17893
Breviolum55244	K01194
Breviolum85189	K01974
Breviolum237145	K13356
Breviolum176864	K03320
Breviolum64825	K05712
Breviolum101502	K12483
Breviolum50589	K00889
Breviolum41766	K15110
Breviolum132132	K00889
Breviolum60396	K01940
Breviolum159926	K10408
Breviolum172945	K16900
Breviolum140957	K24764
Breviolum181231	K09537
Breviolum171919	K06180
Breviolum39828	K03648
Breviolum273498	K03686
Breviolum278298	K09584
Breviolum75117	K07126
Breviolum84145	K22077
Breviolum129230	K22453
Breviolum243093	K01881
Breviolum160436	K10396
Breviolum35420	K08565
Breviolum20972	K15377
Breviolum239709	K23257
Breviolum58666	K20798
Breviolum85360	K04950
Breviolum43950	K15777
Breviolum36774	K11068
Breviolum18411	K14440
Breviolum136371	K23539
Breviolum81808	K15692
Breviolum82470	K00059
Breviolum79836	K00772
Breviolum83176	K01379
Breviolum206164	K10380
Breviolum244562	K17619
Breviolum214147	K10799
Breviolum60373	K21396
Breviolum50207	K10398
Breviolum158533	K21970
Breviolum267183	K10380
Breviolum239146	K01076
Breviolum69796	K22767
Breviolum240127	K12403
Breviolum117355	K05681
Breviolum42379	K00059
Breviolum111553	K02357
Breviolum181460	K14521
Breviolum82426	K21989
Breviolum239050	K15272
Breviolum84973	K12132
Breviolum65939	K12867
Breviolum76232	K15272
Breviolum248528	K24729
Breviolum154224	K08193
Breviolum69704	K18208
Breviolum77793	K03348
Breviolum237942	K15100
Breviolum158279	K08794
Breviolum180449	K05012
Breviolum92133	K13184
Breviolum77189	K04464
Breviolum31532	K21440
Breviolum80453	K13126
Breviolum139269	K10380
Breviolum39764	K12398
Breviolum159359	K04739
Breviolum128765	K26089
Breviolum80705	K04860
Breviolum211474	K22858
Breviolum118252	K08848
Breviolum240145	K00164
Breviolum107689	K03327
Breviolum65816	K04638
Breviolum41856	K00059
Breviolum243136	K14765
Breviolum69907	K08139
Breviolum53328	K15637
Breviolum58749	K14079
Breviolum32190	K18740
Breviolum310393	K09578
Breviolum208573	K05884
Breviolum69391	K23538
Breviolum115633	K01537
Breviolum113175	K17341
Breviolum173706	K23257
Breviolum89628	K10421
Breviolum205040	K10523
Breviolum214028	K10380
Breviolum148531	K14570
Breviolum22203	K17872
Breviolum68149	K02949
Breviolum206201	K14724
Breviolum85213	K06180
Breviolum19471	K03845
Breviolum56227	K00026
Breviolum55063	K00665
Breviolum110969	K17914
Breviolum22278	K01759
Breviolum211112	K03165
Breviolum31199	K05692
Breviolum134105	K15371
Breviolum72805	K08876
Breviolum176928	K12968
Breviolum66227	K15264
Breviolum285197	K08333
Breviolum119017	K08917
Breviolum40145	K21440
Breviolum52612	K00434
Breviolum107680	K01176
Breviolum274368	K06413
Breviolum162555	K08498
Breviolum306697	K01076
Breviolum16711	K12443
Breviolum15047	K07299
Breviolum23399	K17495
Breviolum127566	K14792
Breviolum7176	K09569
Breviolum39693	K13184
Breviolum21860	K04456
Breviolum75398	K12402
Breviolum279607	K07783
Breviolum84340	K15656
Breviolum99544	K20222
Breviolum279112	K16816
Breviolum158157	K12460
Breviolum58715	K15747
Breviolum75991	K18466
Breviolum41528	K05794
Breviolum277776	K07893
Breviolum270722	K19525
Breviolum244956	K10669
Breviolum317207	K11835
Breviolum79211	K13109
Breviolum32206	K07560
Breviolum64919	K04648
Breviolum172107	K08869
Breviolum21888	K15918
Breviolum74497	K01358
Breviolum158015	K10380
Breviolum69411	K25384
Breviolum163250	K15692
Breviolum243947	K01304
Breviolum241637	K02998
Breviolum146805	K06944
Breviolum150041	K06671
Breviolum86742	K13448
Breviolum151940	K23114
Breviolum177152	K02219
Breviolum24188	K10595
Breviolum31913	K24796
Breviolum94362	K06978
Breviolum220027	K03686
Breviolum38244	K21440
Breviolum273483	K06995
Breviolum79218	K13291
Breviolum103894	K01673
Breviolum86247	K12172
Breviolum87485	K10579
Breviolum172027	K02259
Breviolum101035	K07513
Breviolum242515	K03320
Breviolum242956	K19022
Breviolum156754	K03259
Breviolum87448	K00928
Breviolum84565	K05655
Breviolum131401	K20823
Breviolum46808	K15102
Breviolum93617	K11816
Breviolum209650	K01363
Breviolum152572	K14571
Breviolum102635	K17759
Breviolum32426	K13412
Breviolum278841	K05012
Breviolum76591	K16601
Breviolum72966	K00315
Breviolum24452	K03800
Breviolum58871	K08824
Breviolum99047	K14191
Breviolum130330	K18406
Breviolum51783	K10380
Breviolum58902	K06413
Breviolum134703	K12619
Breviolum92493	K09595
Breviolum43419	K02219
Breviolum45527	K06633
Breviolum277804	K03841
Breviolum157931	K15277
Breviolum210714	K24729
Breviolum80750	K12410
Breviolum98051	K02365
Breviolum112735	K22684
Breviolum128695	K01918
Breviolum172175	K00143
Breviolum147976	K07399
Breviolum115204	K00234
Breviolum176947	K02878
Breviolum75974	K04718
Breviolum143182	K07151
Breviolum70255	K24427
Breviolum16725	K05666
Breviolum59004	K07761
Breviolum55382	K16271
Breviolum24217	K07910
Breviolum130651	K10408
Breviolum58559	K03772
Breviolum272037	K13125
Breviolum178291	K08869
Breviolum46071	K00914
Breviolum242318	K12859
Breviolum220089	K25442
Breviolum27031	K20296
Breviolum40737	K00486
Breviolum76856	K13412
Breviolum24145	K10428
Breviolum242291	K08960
Breviolum179687	K21575
Breviolum44150	K04834
Breviolum58698	K13412
Breviolum204906	K03809
Breviolum277461	K14560
Breviolum63517	K16900
Breviolum157237	K05658
Breviolum78243	K13956
Breviolum7395	K01510
Breviolum86771	K10477
Breviolum131509	K01938
Breviolum91169	K13526
Breviolum117322	K22503
Breviolum85047	K01176
Breviolum105916	K17680
Breviolum180326	K07560
Breviolum69406	K01177
Breviolum59082	K06129
Breviolum178105	K08869
Breviolum50191	K04459
Breviolum242172	K02427
Breviolum100802	K06689
Breviolum90793	K00620
Breviolum73764	K13412
Breviolum94723	K10380
Breviolum14775	K04739
Breviolum55330	K01193
Breviolum51334	K07880
Breviolum46262	K15259
Breviolum204812	K19360
Breviolum59147	K00645
Breviolum81540	K17911
Breviolum75714	K02836
Breviolum24162	K00799
Breviolum117318	K12460
Breviolum20471	K18410
Breviolum242727	K10380
Breviolum16327	K14674
Breviolum315576	K12189
Breviolum27251	K08900
Breviolum31732	K10380
Breviolum15225	K09528
Breviolum243603	K08960
Breviolum158565	K24796
Breviolum157913	K10615
Breviolum273911	K22614
Breviolum120890	K01091
Breviolum216120	K19369
Breviolum54098	K12812
Breviolum134024	K01188
Breviolum46618	K12440
Breviolum240022	K11406
Breviolum211728	K24139
Breviolum251139	K10380
Breviolum173875	K16284
Breviolum43599	K10408
Breviolum147901	K14258
Breviolum54366	K04421
Breviolum207064	K10848
Breviolum21292	K10752
Breviolum147442	K23048
Breviolum133550	K12132
Breviolum175076	K22072
Breviolum208950	K01365
Breviolum282023	K06234
Breviolum181584	K09503
Breviolum68418	K15117
Breviolum276746	K20028
Breviolum52353	K01736
Breviolum79381	K12960
Breviolum242348	K00227
Breviolum273059	K17964
Breviolum143254	K01379
Breviolum82413	K20471
Breviolum136907	K07566
Breviolum209849	K01408
Breviolum46613	K06639
Breviolum69570	K02371
Breviolum209385	K20551
Breviolum211209	K15305
Breviolum204819	K12839
Breviolum277327	K08803
Breviolum67986	K22614
Breviolum176436	K15276
Breviolum279387	K25425
Breviolum73923	K18423
Breviolum70959	K18740
Breviolum66113	K13280
Breviolum20151	K02088
Breviolum135633	K10380
Breviolum155977	K06994
Breviolum57485	K06639
Breviolum82598	K03654
Breviolum74760	K23029
Breviolum238594	K10839
Breviolum280061	K09571
Breviolum83982	K14809
Breviolum211831	K25166
Breviolum136942	K20607
Breviolum56859	K12948
Breviolum146594	K00134
Breviolum253497	K08906
Breviolum16359	K14326
Breviolum57995	K14803
Breviolum243741	K04799
Breviolum17805	K01697
Breviolum12234	K08790
Breviolum77004	K10380
Breviolum36837	K23490
Breviolum146628	K10380
Breviolum58225	K03017
Breviolum92829	K24205
Breviolum103947	K13288
Breviolum213679	K03773
Breviolum72975	K04885
Breviolum157132	K02471
Breviolum273317	K14855
Breviolum103877	K02868
Breviolum103643	K03843
Breviolum58918	K25395
Breviolum237951	K10575
Breviolum123637	K04885
Breviolum251691	K03152
Breviolum141326	K01768
Breviolum52649	K08739
Breviolum44210	K08582
Breviolum179576	K23855
Breviolum89525	K24030
Breviolum242731	K03847
Breviolum123931	K15176
Breviolum20739	K20101
Breviolum113276	K11592
Breviolum16515	K17609
Breviolum158485	K03665
Breviolum125866	K00933
Breviolum205581	K03070
Breviolum104366	K12842
Breviolum58123	K00557
Breviolum28061	K06627
Breviolum42666	K12251
Breviolum5378	K21440
Breviolum62423	K01012
Breviolum60416	K11481
Breviolum209882	K05016
Breviolum136321	K10703
Breviolum61503	K18041
Breviolum17070	K00856
Breviolum276878	K13412
Breviolum178446	K11434
Breviolum81280	K12890
Breviolum241651	K10380
Breviolum80699	K06180
Breviolum90905	K12132
Breviolum33055	K04427
Breviolum58289	K13412
Breviolum58250	K02957
Breviolum58994	K17943
Breviolum107300	K08738
Breviolum128149	K03320
Breviolum113653	K01623
Breviolum51377	K13646
Breviolum132802	K08565
Breviolum95702	K04421
Breviolum277692	K08803
Breviolum75758	K15112
Breviolum56831	K10396
Breviolum154163	K17339
Breviolum32072	K21760
Breviolum46912	K08960
Breviolum59281	K10799
Breviolum147014	K01939
Breviolum157544	K10755
Breviolum52256	K08960
